proposition_id,normalized_proposition,proposition_domain,status,first_asserted_scene,source_revision,review_status,duplicate_group,notes
P-B03-000001,The library contains active old magic.,story-world,active,B03-C01-S03,REV-B03-PHASE8,human-curated-v0.1,790cb51a8aa7,
P-B03-000002,Margot is inside the library during the disturbance.,story-world,active,B03-C01-S03,REV-B03-PHASE8,human-curated-v0.1,6a8c069a46d4,
P-B03-000003,Jonah's wolf identifies Margot as his mate.,belief,active,B03-C01-S03,REV-B03-PHASE8,human-curated-v0.1,49df59f21120,
P-B03-000004,The basement contains impossible architecture.,story-world,active,B03-C01-S04,REV-B03-PHASE8,human-curated-v0.1,f19418005c73,
P-B03-000005,Books in the library can animate and attack.,story-world,active,B03-C01-S04,REV-B03-PHASE8,human-curated-v0.1,e465efd0cbdd,
P-B03-000006,The library seals itself.,story-world,active,B03-C01-S05,REV-B03-PHASE8,human-curated-v0.1,c6a4735bea7a,
P-B03-000007,The Founding Scrolls are missing.,story-world,active,B03-C02-S02,REV-B03-PHASE8,human-curated-v0.1,f8fb4ab0d691,
P-B03-000008,The Founding Scrolls contain dangerous truths about the town's founding.,story-world,active,B03-C02-S03,REV-B03-PHASE8,human-curated-v0.1,761520cfb498,
P-B03-000009,The Purge Protocol will erase the library and everyone inside after twelve hours.,story-world,active,B03-C02-S03,REV-B03-PHASE8,human-curated-v0.1,70f5b46a112e,
P-B03-000010,Returning the Scrolls through Level B4 can stop the Purge Protocol.,story-world,active,B03-C02-S04,REV-B03-PHASE8,human-curated-v0.1,1b6fedf6c469,
P-B03-000011,Margot possesses her grandmother's journal.,story-world,active,B03-C02-S01,REV-B03-PHASE8,human-curated-v0.1,108402655ba7,
P-B03-000012,Margot conceals her grandmother's journal from Jonah.,story-world,active,B03-C02-S01,REV-B03-PHASE8,human-curated-v0.1,db0f514956f7,
P-B03-000013,Level B1 contains predatory entities that consume text or language.,story-world,active,B03-C03-S02,REV-B03-PHASE8,human-curated-v0.1,b53f98638cb4,
P-B03-000014,The Deep Stacks distort space and direction.,story-world,active,B03-C03-S01,REV-B03-PHASE8,human-curated-v0.1,746f21c8bc12,
P-B03-000015,Margot and Jonah must cooperate to survive the descent.,analytical,active,B03-C02-S05,REV-B03-PHASE8,human-curated-v0.1,7cf319d412ea,
P-B03-000016,Margot and Jonah enter Level B2 together.,story-world,active,B03-C03-S05,REV-B03-PHASE8,human-curated-v0.1,8db34b2bdb06,
P-B03-000017,Jonah is injured by the lexivore.,story-world,active,B03-C03-S04,REV-B03-PHASE8,human-curated-v0.1,885d28e83f7b,
P-B03-000018,The current possessor of the Founding Scrolls is unknown.,story-world,active,B03-C02-S02,REV-B03-PHASE8,human-curated-v0.1,dd3c368da957,
P-B03-000019,Jonah and Margot explicitly acknowledge mutual desire.,relationship,active,B03-C04-S02,REV-B03-PHASE8,human-curated-v0.1,3a8982f3ab1c,
P-B03-000020,Jonah and Margot engage in consensual sexual intimacy.,story-world,active,B03-C04-S03,REV-B03-PHASE8,human-curated-v0.1,2ec5aabde8e1,
P-B03-000021,B2 obeys belief-dependent or subjective gravity.,story-world,active,B03-C04-S05,REV-B03-PHASE8,human-curated-v0.1,2a81ef66f463,
P-B03-000022,A Concept Guardian blocks access to B3 with a riddle.,story-world,active,B03-C04-S05,REV-B03-PHASE8,human-curated-v0.1,12c2db3c2819,
P-B03-000023,Margot solves the Concept Guardian's riddle.,story-world,active,B03-C05-S01,REV-B03-PHASE8,human-curated-v0.1,e51c66b64d9e,
P-B03-000024,The Resting Point is temporarily safe from immediate Deep Stacks threats.,story-world,active,B03-C05-S02,REV-B03-PHASE8,human-curated-v0.1,d360a7f99165,
P-B03-000025,Margot deliberately resumes intimacy with Jonah in the Resting Point.,story-world,active,B03-C05-S02,REV-B03-PHASE8,human-curated-v0.1,7cacbc95920b,
P-B03-000026,Margot reveals sexual inexperience to Jonah.,story-world,active,B03-C05-S03,REV-B03-PHASE8,human-curated-v0.1,54fc239cf5d7,
P-B03-000027,"B3 weaponizes memory, shame, grief, and poetic form.",story-world,active,B03-C06-S01,REV-B03-PHASE8,human-curated-v0.1,e2222b794374,
P-B03-000028,Margot can interrupt B3's poetic traps and restore Jonah.,story-world,active,B03-C06-S01,REV-B03-PHASE8,human-curated-v0.1,8f854c1aa32e,
