continuity_group_id,start_scene_id,end_scene_id,event_count,status
BAR-DISTURBANCE,B03-C01-S01,B03-C01-S02,4,candidate
LIBRARY-DISTURBANCE,B03-C01-S02,B03-C01-S04,6,candidate
MATE-RECOGNITION,B03-C01-S03,B03-C08-S04,7,candidate
LIBRARY-CONTAINMENT,B03-C01-S05,B03-C01-S05,2,candidate
PURGE-ACTIVATION,B03-C01-S05,B03-C02-S04,5,candidate
SCROLL-CRISIS,B03-C02-S01,B03-C02-S03,3,candidate
RECOVERY-MISSION,B03-C02-S04,B03-C04-S04,5,candidate
DEEP-STACKS-DESCENT,B03-C02-S05,B03-C03-S02,5,candidate
LEXIVORE-ENCOUNTER,B03-C03-S03,B03-C03-S04,3,candidate
B2-TRANSITION,B03-C03-S04,B03-C03-S05,4,candidate
RELATIONSHIP-ESCALATION,B03-C04-S01,B03-C10-S03,10,candidate
B2-ARRIVAL,B03-C04-S01,B03-C04-S04,2,candidate
JONAH-INJURY,B03-C04-S01,B03-C10-S03,7,candidate
FIRST-INTIMACY,B03-C04-S03,B03-C04-S04,4,candidate
B2-TRAVERSAL,B03-C04-S05,B03-C04-S05,3,candidate
GUARDIAN-RIDDLE,B03-C04-S05,B03-C05-S01,5,candidate
RESTING-POINT,B03-C05-S02,B03-C05-S02,2,candidate
SECOND-INTIMACY,B03-C05-S02,B03-C05-S04,8,candidate
B3-DESCENT,B03-C05-S05,B03-C05-S05,2,candidate
B3-FOREST,B03-C06-S01,B03-C06-S04,9,candidate
VILLANELLE-TRAP,B03-C06-S03,B03-C06-S04,7,candidate
SONNET-GLADE,B03-C07-S01,B03-C07-S04,13,candidate
B4-APPROACH,B03-C07-S04,B03-C07-S05,3,candidate
SCROLL-TRUTH,B03-C07-S05,B03-C07-S05,1,candidate
FOUNDING-TRUTH,B03-C07-S05,B03-C09-S04,3,candidate
PURGE-CAUSE,B03-C08-S01,B03-C08-S01,1,candidate
KAEL-VAULT-CONFRONTATION,B03-C08-S01,B03-C08-S03,7,candidate
VAULT-INTIMACY,B03-C08-S03,B03-C08-S05,7,candidate
TREATY-CUSTODY,B03-C08-S05,B03-C12-S01,2,candidate
B4-EXIT,B03-C08-S05,B03-C08-S05,1,candidate
STERLING-STANDOFF,B03-C09-S01,B03-C09-S02,4,candidate
LIBRARY-ESCAPE,B03-C09-S01,B03-C09-S01,1,candidate
PUBLIC-EXPOSURE,B03-C09-S02,B03-C09-S06,12,candidate
ANTAGONIST-ESCAPE,B03-C09-S05,B03-C09-S05,2,candidate
CABIN-RETREAT,B03-C09-S05,B03-C09-S06,3,candidate
EVIDENCE-DISTRIBUTION,B03-C09-S06,B03-C11-S01,2,candidate
LIBRARY-LOSS,B03-C09-S06,B03-C09-S06,1,candidate
CABIN-REFUGE,B03-C10-S01,B03-C10-S02,5,candidate
DISPLACEMENT,B03-C10-S01,B03-C10-S01,1,candidate
CABIN-DEFENSE,B03-C10-S02,B03-C10-S05,3,candidate
RELATIONSHIP-COMMITMENT,B03-C10-S02,B03-C10-S04,3,candidate
JONAH-BACKSTORY,B03-C10-S03,B03-C10-S03,1,candidate
CABIN-INTIMACY,B03-C10-S04,B03-C10-S05,4,candidate
MATE-BOND,B03-C10-S04,B03-C12-S05,3,candidate
CABIN-SIEGE,B03-C10-S05,B03-C11-S02,8,candidate
MAGISTERIUM-ULTIMATUM,B03-C10-S05,B03-C10-S05,2,candidate
TREATY-EVIDENCE,B03-C11-S01,B03-C11-S01,1,candidate
ROOT-CELLAR-ESCAPE,B03-C11-S02,B03-C11-S03,6,candidate
WILDERNESS-FLIGHT,B03-C11-S03,B03-C12-S03,4,candidate
RIVER-CROSSING,B03-C12-S01,B03-C12-S02,3,candidate
HYPOTHERMIA,B03-C12-S02,B03-C12-S03,5,candidate
MINE-ROUTE,B03-C12-S03,B03-C12-S05,4,candidate
YETI-ENCOUNTER,B03-C12-S04,B03-C12-S05,5,candidate
