membership_id,event_id,child_thread_id,parent_thread_id,membership_strength,assignment_score,assignment_basis,source_scene_id,canonical_status,review_status
ETM-00001,N-EVT-B03-C01-S02-002,PT-C03,PT-P01,primary,3,continuity-group:LIBRARY-DISTURBANCE,B03-C01-S02,candidate,reviewable
ETM-00002,N-EVT-B03-C01-S03-001,PT-C03,PT-P01,primary,3,continuity-group:LIBRARY-DISTURBANCE,B03-C01-S03,candidate,reviewable
ETM-00003,N-EVT-B03-C01-S03-002,PT-C03,PT-P01,primary,3,continuity-group:LIBRARY-DISTURBANCE,B03-C01-S03,candidate,reviewable
ETM-00004,N-EVT-B03-C01-S03-003,PT-C03,PT-P01,primary,3,continuity-group:LIBRARY-DISTURBANCE,B03-C01-S03,candidate,reviewable
ETM-00005,N-EVT-B03-C01-S03-004,PT-C04,PT-P02,primary,4,continuity-group:MATE-RECOGNITION;label:mate,B03-C01-S03,candidate,high-confidence
ETM-00006,N-EVT-B03-C01-S04-001,PT-C03,PT-P01,primary,3,continuity-group:LIBRARY-DISTURBANCE,B03-C01-S04,candidate,reviewable
ETM-00007,N-EVT-B03-C01-S04-002,PT-C03,PT-P01,primary,3,continuity-group:LIBRARY-DISTURBANCE,B03-C01-S04,candidate,reviewable
ETM-00008,N-EVT-B03-C01-S05-001,PT-C02,PT-P01,primary,3,continuity-group:LIBRARY-CONTAINMENT,B03-C01-S05,candidate,reviewable
ETM-00009,N-EVT-B03-C01-S05-001,PT-C03,PT-P01,primary,3,continuity-group:LIBRARY-CONTAINMENT,B03-C01-S05,candidate,reviewable
ETM-00010,N-EVT-B03-C01-S05-002,PT-C02,PT-P01,primary,3,continuity-group:LIBRARY-CONTAINMENT,B03-C01-S05,candidate,reviewable
ETM-00011,N-EVT-B03-C01-S05-002,PT-C03,PT-P01,primary,3,continuity-group:LIBRARY-CONTAINMENT,B03-C01-S05,candidate,reviewable
ETM-00012,N-EVT-B03-C01-S05-003,PT-C03,PT-P01,primary,4,continuity-group:PURGE-ACTIVATION;label:library seals,B03-C01-S05,candidate,high-confidence
ETM-00013,N-EVT-B03-C02-S01-001,PT-C02,PT-P01,primary,3,continuity-group:SCROLL-CRISIS,B03-C02-S01,candidate,reviewable
ETM-00014,N-EVT-B03-C02-S02-001,PT-C02,PT-P01,primary,5,continuity-group:SCROLL-CRISIS;label:scroll|missing,B03-C02-S02,candidate,high-confidence
ETM-00015,N-EVT-B03-C02-S02-002,PT-C04,PT-P02,primary,3,continuity-group:MATE-RECOGNITION,B03-C02-S02,candidate,reviewable
ETM-00016,N-EVT-B03-C02-S03-001,PT-C02,PT-P01,primary,4,continuity-group:SCROLL-CRISIS;label:scroll,B03-C02-S03,candidate,high-confidence
ETM-00017,N-EVT-B03-C02-S03-002,PT-C03,PT-P01,primary,4,continuity-group:PURGE-ACTIVATION;label:purge,B03-C02-S03,candidate,high-confidence
