scene_context_id,scene_id,pov_character,location,present_characters,active_goals,active_threats,known_propositions,believed_propositions,false_beliefs,concealed_propositions,objects_present,relationship_states,open_promises,reader_advantage,reader_disadvantage,revision_context,source_document,review_status,notes
CTX-B03-C01-S01,B03-C01-S01,Jonah Harrow,The Howling Moon bar,Jonah Harrow; Grishka; Aleksei Petrov; Marcy; minotaur couple; human tourists,Jonah stops the bar fight and restores order.,Grishka's jealousy and supernatural strength; chaotic patrons.,No major new factual knowledge.,None explicit.,,,None.,Jonah reinforces his authority over local supernatural residents.,Jonah's role as supernatural sheriff; his exhausted control over the wolf.; None.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C01-S02,B03-C01-S02,Jonah Harrow,Porch of The Howling Moon and Main Street,Jonah Harrow; Grishka; Aleksei Petrov,Jonah clears the remaining disturbance and assesses the night.,Jonah's fatigue; the wolf's unexplained sense of danger.,Jonah learns that an unidentified magical danger is nearby.,Routine Friday-night annoyance becomes active concern.,,,None.,None explicit.,An approaching danger; the library as threat locus.; Jonah's wolf warns that danger is coming.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C01-S03,B03-C01-S03,Jonah Harrow,Exterior and staff entrance of Snowfall Creek Public Library,Jonah Harrow,"Investigate the unexplained light, scent, and magical disturbance.",Locked doors; unknown old magic; Jonah's denial of the mate response.,Jonah learns the disturbance originates inside the library and Margot is present.,The wolf identifies Margot as mate; Jonah rejects or suppresses the implication.,,,None.,A latent mate bond is introduced from Jonah's perspective.,Mate-bond romance promise; hidden magical library promise.; The supernatural threat becomes concrete.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C01-S04,B03-C01-S04,Jonah Harrow,Library main floor and basement,Jonah Harrow; Margot Vance,Locate the source of the disturbance and protect whoever is inside.,Impossible architecture; animated books; uncontrolled old magic.,Jonah learns the library basement is magically transformed and Margot is actively controlling it.,Jonah's suspicion becomes certainty that the library contains dangerous old magic.,,,None.,Jonah sees Margot as capable under extreme danger.,Margot's hidden Keeper role; dangerous sentient books.; Library mystery escalates into direct supernatural crisis.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C01-S05,B03-C01-S05,Jonah Harrow,Library basement,Jonah Harrow; Margot Vance,Stabilize the magical event and obtain an explanation.,Margot's secrecy; unstable library magic; building-wide ward response.,Jonah learns the books can animate and the library has concealed magical history.,Margot shifts from containment to acknowledging a larger failure.,,,Margot takes custody of the biting book.,Jonah demands truth; Margot begins direct engagement with him.,Sealed-building survival deadline; explanation of library history.; The external threat becomes confinement.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C02-S01,B03-C02-S01,Margot Vance,Library basement,Margot Vance; Jonah Harrow,Control what Jonah learns while explaining enough to manage the crisis.,Jonah's direct questioning; Margot's lifelong secrecy.,Jonah learns the library contains old protections and dangerous knowledge.,Margot recognizes that habitual secrecy will not be sufficient.,,,Margot hides and retains her grandmother's journal.,Their interaction moves from confrontation toward reluctant disclosure.,The contents and purpose of the wards; Margot's family history.; Margot's secret-keeper role becomes explicit.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C02-S02,B03-C02-S02,Margot Vance,"Library basement, Preservation Section",Margot Vance; Jonah Harrow,Determine what triggered the wards.,Missing archive material; Margot's panic and reluctance to disclose.,Margot and Jonah learn the Founding Scrolls are missing; Jonah learns they exist.,Margot moves from uncertainty about the trigger to certainty that theft caused the crisis.,,,No transfer shown; missing Scrolls have unknown custody.,Jonah's touch creates unexpected attraction and safety for Margot.,Mystery of who took the Founding Scrolls; significance of their contents.; The ward failure receives a likely cause.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C02-S03,B03-C02-S03,Margot Vance,Library basement to main floor,Margot Vance; Jonah Harrow,Explain the Scrolls and assess the building's response.,Dangerous historical truth; escalating Purge Protocol.,Jonah learns the Scrolls contain lethal political truths and the library will erase itself in twelve hours.,Jonah's concern becomes acceptance of an existential deadline.,,,None.,Margot entrusts Jonah with restricted family knowledge.,Twelve-hour countdown; founding-truth conspiracy.; Missing Scrolls become a town-level threat.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C02-S04,B03-C02-S04,Margot Vance,Library main floor,Margot Vance; Jonah Harrow; Meredith hologram,Find a way to stop the Purge Protocol.,Inescapable wards; protocol's refusal to make exceptions; unstable Deep Stacks.,They learn returning the Scrolls via Level B4 can avert sterilization.,Margot shifts from panic to determined action.,,,None.,Margot publicly treats Jonah as her partner or backup; shared humor appears.,Journey through four underground levels to the Heart of the Archive.; The survival problem acquires a concrete mission.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C02-S05,B03-C02-S05,Margot Vance,"Library main floor, basement, entrance to Level B1",Margot Vance; Jonah Harrow,Enter the Deep Stacks and begin the recovery mission.,Unstable architecture; active books; lethal lower levels.,Jonah learns the Deep Stacks are unstable and each lower level is more dangerous.,Margot accepts cooperation as necessary.,,,Margot uses and retains the key and flashlight.,Physical proximity and shared danger reinforce attraction and partnership.,Specific hazards of the Deep Stacks.; The mission begins.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
