normalized_event_id,book_id,start_scene_id,end_scene_id,event_label,event_type,participant_entity_ids,participant_roles,continuity_group_id,source_span,source_quote,evidence_status,canonical_status,review_status,review_rationale
N-EVT-B03-C04-S01-001,B03,B03-C04-S01,B03-C04-S01,Margot and Jonah recover after escaping B1,recovery,ENT-CHAR-0002;ENT-CHAR-0001,Margot:recovering;Jonah:recovering,B2-ARRIVAL,B03-C04-S01,They recover after escaping B1,event-specific-candidate,candidate,scaled-batch-v1.0,Carries forward the B1 escape into the B2 landing.
N-EVT-B03-C04-S01-002,B03,B03-C04-S01,B03-C04-S01,Margot identifies Jonah's injury and unstable wolf state,assessment,ENT-CHAR-0002;ENT-CHAR-0001,Margot:assessor;Jonah:injured,JONAH-INJURY,B03-C04-S01,Margot notices Jonah's blood and wolf state,event-specific-candidate,candidate,scaled-batch-v1.0,Establishes a persistent injury and control problem.
N-EVT-B03-C04-S01-003,B03,B03-C04-S01,B03-C04-S01,Jonah notices Margot's shaking hands and escalating attraction,relationship_perception,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:perceiver;Margot:observed,RELATIONSHIP-ESCALATION,B03-C04-S01,Jonah examines Margot's shaking hands,event-specific-candidate,candidate,scaled-batch-v1.0,Marks attraction becoming explicit rather than merely inferred.
N-EVT-B03-C04-S02-001,B03,B03-C04-S02,B03-C04-S02,Jonah physically corners Margot against the sealed door,physical_action,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:actor;Margot:recipient,RELATIONSHIP-ESCALATION,B03-C04-S02,One hand tangled in her hair,event-specific-candidate,candidate,scaled-batch-v1.0,Material physical escalation.
N-EVT-B03-C04-S02-002,B03,B03-C04-S02,B03-C04-S02,Jonah voices mate-claim language,disclosure,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:speaker;Margot:recipient,MATE-RECOGNITION,B03-C04-S02,You smell like mine,event-specific-candidate,candidate,scaled-batch-v1.0,Transforms Jonah's private recognition into spoken information.
N-EVT-B03-C04-S02-003,B03,B03-C04-S02,B03-C04-S02,Jonah asks Margot to stop him and Margot explicitly refuses,consent_decision,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:requester;Margot:decision-maker,RELATIONSHIP-ESCALATION,B03-C04-S02,I don't want you to stop,event-specific-candidate,candidate,scaled-batch-v1.0,Creates explicit consent state.
N-EVT-B03-C04-S03-001,B03,B03-C04-S03,B03-C04-S03,Jonah initiates manual sexual contact with Margot,sexual_action,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:actor;Margot:recipient,FIRST-INTIMACY,B03-C04-S03,Open for me,event-specific-candidate,candidate,scaled-batch-v1.0,First explicit sexual action.
N-EVT-B03-C04-S03-002,B03,B03-C04-S03,B03-C04-S03,Jonah and Margot kiss during the encounter,relationship_action,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:participant;Margot:participant,FIRST-INTIMACY,B03-C04-S03,He finally kissed her,event-specific-candidate,candidate,scaled-batch-v1.0,Mutual intimacy beat.
N-EVT-B03-C04-S03-003,B03,B03-C04-S03,B03-C04-S03,Margot climaxes while Jonah stops short of his own completion,sexual_climax,ENT-CHAR-0002;ENT-CHAR-0001,Margot:climaxing;Jonah:actor,FIRST-INTIMACY,B03-C04-S03,Margot reached orgasm,event-specific-candidate,candidate,scaled-batch-v1.0,Creates asymmetrical completion and an unfinished-intimacy state.
N-EVT-B03-C04-S04-001,B03,B03-C04-S04,B03-C04-S04,Jonah helps Margot recover and restores her clothing,aftercare,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:actor;Margot:recipient,FIRST-INTIMACY,B03-C04-S04,He reached out and smoothed her skirt down,event-specific-candidate,candidate,scaled-batch-v1.0,Aftercare materially changes emotional tone.
N-EVT-B03-C04-S04-002,B03,B03-C04-S04,B03-C04-S04,Margot and Jonah agree to resume the mission without apology,decision,ENT-CHAR-0002;ENT-CHAR-0001,Margot:initiator;Jonah:agrees,RECOVERY-MISSION,B03-C04-S04,We have to keep moving,event-specific-candidate,candidate,scaled-batch-v1.0,Reasserts mission priority.
N-EVT-B03-C04-S04-003,B03,B03-C04-S04,B03-C04-S04,They discover B2's floorless and gravity-shifting architecture,discovery,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0008,Margot:perceiver;Jonah:perceiver;B2:environment,B2-ARRIVAL,B03-C04-S04,floating structures,event-specific-candidate,candidate,scaled-batch-v1.0,Establishes B2 physical rules.
N-EVT-B03-C04-S05-001,B03,B03-C04-S05,B03-C04-S05,Margot tests and confirms the floating path will hold,threshold_test,ENT-CHAR-0002;ENT-LOC-0008,Margot:tester;B2:environment,B2-TRAVERSAL,B03-C04-S05,She stepped off the landing,event-specific-candidate,candidate,scaled-batch-v1.0,First successful navigation of subjective gravity.
N-EVT-B03-C04-S05-002,B03,B03-C04-S05,B03-C04-S05,Jonah follows Margot onto the floating path,threshold_crossing,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0008,Jonah:actor;Margot:guide;B2:environment,B2-TRAVERSAL,B03-C04-S05,and followed her,event-specific-candidate,candidate,scaled-batch-v1.0,Commits Jonah to B2 traversal.
N-EVT-B03-C04-S05-003,B03,B03-C04-S05,B03-C04-S05,Margot and Jonah traverse the floating architecture toward the central spire,travel,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0008,Margot:navigator;Jonah:companion;B2:environment,B2-TRAVERSAL,B03-C04-S05,They moved carefully along the path,event-specific-candidate,candidate,scaled-batch-v1.0,Sustained traversal under new spatial rules.
N-EVT-B03-C04-S05-004,B03,B03-C04-S05,B03-C04-S05,The Concept Guardian blocks access to B3 and begins a lethal riddle,challenge,ENT-CREATURE-0003;ENT-CHAR-0002;ENT-CHAR-0001,Guardian:challenger;Margot:solver;Jonah:threatened,GUARDIAN-RIDDLE,B03-C04-S05,The Guardian demands a riddle answer,event-specific-candidate,candidate,scaled-batch-v1.0,Creates immediate puzzle and death threat.
N-EVT-B03-C05-S01-001,B03,B03-C05-S01,B03-C05-S01,The Guardian counts down toward eating Jonah,deadline_pressure,ENT-CREATURE-0003;ENT-CHAR-0001;ENT-CHAR-0002,Guardian:threatener;Jonah:target;Margot:solver,GUARDIAN-RIDDLE,B03-C05-S01,Five seconds,event-specific-candidate,candidate,scaled-batch-v1.0,Escalates the riddle into a timed threat.
N-EVT-B03-C05-S01-002,B03,B03-C05-S01,B03-C05-S01,Margot reframes the riddle around unrealized architecture,inference,ENT-CHAR-0002;ENT-CREATURE-0003;ENT-CHAR-0001,Margot:reasoner;Guardian:evaluator;Jonah:stake,GUARDIAN-RIDDLE,B03-C05-S01,it's about what could be,event-specific-candidate,candidate,scaled-batch-v1.0,Key inferential turn.
