event_id,scene_id,event_label,continuity_group_id,reason
N-EVT-B03-C01-S01-001,B03-C01-S01,Grishka strikes Aleksei and starts the bar fight,BAR-DISTURBANCE,No child-thread rule reached assignment threshold
N-EVT-B03-C01-S01-002,B03-C01-S01,Jonah physically stops the fight,BAR-DISTURBANCE,No child-thread rule reached assignment threshold
N-EVT-B03-C01-S01-003,B03-C01-S01,Jonah bans Grishka from the bar for the weekend,BAR-DISTURBANCE,No child-thread rule reached assignment threshold
N-EVT-B03-C01-S02-001,B03-C01-S02,Jonah clears Grishka and Aleksei from the bar area,BAR-DISTURBANCE,No child-thread rule reached assignment threshold
N-EVT-B03-C03-S03-003,B03-C03-S03,Jonah and Margot detect a learning shadow before the lexivore emerges,LEXIVORE-ENCOUNTER,No child-thread rule reached assignment threshold
N-EVT-B03-C03-S04-001,B03-C03-S04,The lexivore attacks and frost-burns Jonah,LEXIVORE-ENCOUNTER,No child-thread rule reached assignment threshold
N-EVT-B03-C03-S04-002,B03-C03-S04,Margot uses light and sacrificial books to distract the lexivore,LEXIVORE-ENCOUNTER,No child-thread rule reached assignment threshold
N-EVT-B03-C03-S05-001,B03-C03-S05,Margot opens the B2 door and Jonah follows her into the Architecture Section,B2-TRANSITION,No child-thread rule reached assignment threshold
N-EVT-B03-C03-S05-002,B03-C03-S05,Margot explains that B2 contains actual impossible spaces,B2-TRANSITION,No child-thread rule reached assignment threshold
N-EVT-B03-C03-S05-003,B03-C03-S05,They discover gravity-defying stairs and an unknown entity below,B2-TRANSITION,No child-thread rule reached assignment threshold
N-EVT-B03-C04-S01-001,B03-C04-S01,Margot and Jonah recover after escaping B1,B2-ARRIVAL,No child-thread rule reached assignment threshold
N-EVT-B03-C04-S01-002,B03-C04-S01,Margot identifies Jonah's injury and unstable wolf state,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C04-S04-003,B03-C04-S04,They discover B2's floorless and gravity-shifting architecture,B2-ARRIVAL,No child-thread rule reached assignment threshold
N-EVT-B03-C05-S01-001,B03-C05-S01,The Guardian counts down toward eating Jonah,GUARDIAN-RIDDLE,No child-thread rule reached assignment threshold
N-EVT-B03-C05-S01-002,B03-C05-S01,Margot reframes the riddle around unrealized architecture,GUARDIAN-RIDDLE,No child-thread rule reached assignment threshold
N-EVT-B03-C05-S01-003,B03-C05-S01,Margot answers with plans for buildings never approved or built,GUARDIAN-RIDDLE,No child-thread rule reached assignment threshold
N-EVT-B03-C05-S01-004,B03-C05-S01,The Guardian accepts the answer and unlocks the passage,GUARDIAN-RIDDLE,No child-thread rule reached assignment threshold
N-EVT-B03-C05-S02-001,B03-C05-S02,Margot and Jonah enter the Resting Point Study,RESTING-POINT,No child-thread rule reached assignment threshold
N-EVT-B03-C05-S02-002,B03-C05-S02,Margot confirms the Resting Point is temporarily safe,RESTING-POINT,No child-thread rule reached assignment threshold
N-EVT-B03-C05-S05-002,B03-C05-S05,Margot explains B3's emotional and poetic traps,B3-DESCENT,No child-thread rule reached assignment threshold
N-EVT-B03-C05-S05-003,B03-C05-S05,Margot and Jonah begin the descent to B3 hand in hand,B3-DESCENT,No child-thread rule reached assignment threshold
N-EVT-B03-C06-S04-002,B03-C06-S04,Ink-text recedes from Jonah's body,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C08-S02-003,B03-C08-S02,The silver rod burns Jonah severely,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C08-S03-002,B03-C08-S03,Jonah begins partial supernatural healing from the silver attack,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C09-S01-001,B03-C09-S01,Margot and Jonah climb out of the Deep Stacks carrying the Treaty,LIBRARY-ESCAPE,No child-thread rule reached assignment threshold
N-EVT-B03-C09-S01-002,B03-C09-S01,Jonah's silver injuries impair his movement,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C09-S05-004,B03-C09-S05,Jonah decides to regroup at his ridge cabin,CABIN-RETREAT,No child-thread rule reached assignment threshold
N-EVT-B03-C09-S05-005,B03-C09-S05,Margot and Jonah flee with the Treaty,CABIN-RETREAT,No child-thread rule reached assignment threshold
N-EVT-B03-C09-S06-004,B03-C09-S06,Jonah offers his cabin as refuge,CABIN-RETREAT,No child-thread rule reached assignment threshold
N-EVT-B03-C10-S01-001,B03-C10-S01,Jonah and Margot arrive at the fortified ridge cabin,CABIN-REFUGE,No child-thread rule reached assignment threshold
N-EVT-B03-C10-S01-002,B03-C10-S01,Jonah explains the cabin's wards and isolation,CABIN-REFUGE,No child-thread rule reached assignment threshold
N-EVT-B03-C10-S01-003,B03-C10-S01,Margot acknowledges that her apartment and former life are gone,DISPLACEMENT,No child-thread rule reached assignment threshold
N-EVT-B03-C10-S01-004,B03-C10-S01,"Jonah gives Margot clothes, shelter, and access to the cabin",CABIN-REFUGE,No child-thread rule reached assignment threshold
N-EVT-B03-C10-S01-005,B03-C10-S01,Margot begins showering and physical recovery,CABIN-REFUGE,No child-thread rule reached assignment threshold
N-EVT-B03-C10-S02-001,B03-C10-S02,Jonah arms and secures the cabin,CABIN-DEFENSE,No child-thread rule reached assignment threshold
N-EVT-B03-C10-S02-003,B03-C10-S02,Jonah and Margot discuss their fugitive status and immediate options,CABIN-REFUGE,No child-thread rule reached assignment threshold
N-EVT-B03-C10-S03-001,B03-C10-S03,Margot cleans and dresses Jonah's silver burn,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C10-S03-002,B03-C10-S03,Margot treats Jonah's chest injuries,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C10-S03-003,B03-C10-S03,Jonah and Margot discuss his old scars and long service to the town,JONAH-BACKSTORY,No child-thread rule reached assignment threshold
N-EVT-B03-C10-S05-005,B03-C10-S05,Jonah deletes the order and prepares to resist,CABIN-DEFENSE,No child-thread rule reached assignment threshold
N-EVT-B03-C10-S05-006,B03-C10-S05,Jonah arms himself for the coming attack,CABIN-DEFENSE,No child-thread rule reached assignment threshold
N-EVT-B03-C11-S02-005,B03-C11-S02,Jonah proposes blowing the root-cellar wall as an escape route,ROOT-CELLAR-ESCAPE,No child-thread rule reached assignment threshold
N-EVT-B03-C11-S02-006,B03-C11-S02,Jonah and Margot retreat into the root cellar,ROOT-CELLAR-ESCAPE,No child-thread rule reached assignment threshold
N-EVT-B03-C11-S03-001,B03-C11-S03,Jonah barricades the root cellar,ROOT-CELLAR-ESCAPE,No child-thread rule reached assignment threshold
N-EVT-B03-C11-S03-002,B03-C11-S03,Jonah prepares old mining charges in the retaining wall,ROOT-CELLAR-ESCAPE,No child-thread rule reached assignment threshold
N-EVT-B03-C11-S03-003,B03-C11-S03,The tactical team breaches the cellar entrance,ROOT-CELLAR-ESCAPE,No child-thread rule reached assignment threshold
N-EVT-B03-C11-S03-004,B03-C11-S03,Jonah detonates the retaining wall,ROOT-CELLAR-ESCAPE,No child-thread rule reached assignment threshold
N-EVT-B03-C11-S03-005,B03-C11-S03,Margot and Jonah escape into the ravine with the Treaty,WILDERNESS-FLIGHT,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S01-001,B03-C12-S01,Margot and Jonah flee through deep snow,WILDERNESS-FLIGHT,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S01-002,B03-C12-S01,A helicopter pursues them through the woods,WILDERNESS-FLIGHT,No child-thread rule reached assignment threshold
