continuity_group_id,start_scene_id,end_scene_id,event_count,scene_count,status,scope
BAR-DISTURBANCE,B03-C01-S01,B03-C01-S02,4,2,candidate,cross-scene
LIBRARY-DISTURBANCE,B03-C01-S02,B03-C01-S04,6,3,candidate,cross-scene
MATE-RECOGNITION,B03-C01-S03,B03-C08-S04,7,6,candidate,cross-scene
LIBRARY-CONTAINMENT,B03-C01-S05,B03-C01-S05,2,1,candidate,single-scene
PURGE-ACTIVATION,B03-C01-S05,B03-C02-S04,5,3,candidate,cross-scene
SCROLL-CRISIS,B03-C02-S01,B03-C02-S03,3,3,candidate,cross-scene
RECOVERY-MISSION,B03-C02-S04,B03-C04-S04,5,3,candidate,cross-scene
DEEP-STACKS-DESCENT,B03-C02-S05,B03-C03-S02,5,3,candidate,cross-scene
LEXIVORE-ENCOUNTER,B03-C03-S03,B03-C03-S04,3,2,candidate,cross-scene
B2-TRANSITION,B03-C03-S04,B03-C03-S05,4,2,candidate,cross-scene
B2-ARRIVAL,B03-C04-S01,B03-C04-S04,2,2,candidate,cross-scene
JONAH-INJURY,B03-C04-S01,B03-C29-S01,62,55,candidate,cross-scene
RELATIONSHIP-ESCALATION,B03-C04-S01,B03-C30-S06,16,14,candidate,cross-scene
FIRST-INTIMACY,B03-C04-S03,B03-C04-S04,4,2,candidate,cross-scene
B2-TRAVERSAL,B03-C04-S05,B03-C04-S05,3,1,candidate,single-scene
GUARDIAN-RIDDLE,B03-C04-S05,B03-C05-S01,5,2,candidate,cross-scene
RESTING-POINT,B03-C05-S02,B03-C05-S02,2,1,candidate,single-scene
SECOND-INTIMACY,B03-C05-S02,B03-C05-S04,8,3,candidate,cross-scene
B3-DESCENT,B03-C05-S05,B03-C05-S05,2,1,candidate,single-scene
B3-FOREST,B03-C06-S01,B03-C06-S04,9,3,candidate,cross-scene
VILLANELLE-TRAP,B03-C06-S03,B03-C06-S04,7,2,candidate,cross-scene
SONNET-GLADE,B03-C07-S01,B03-C07-S04,13,4,candidate,cross-scene
B4-APPROACH,B03-C07-S04,B03-C07-S05,3,2,candidate,cross-scene
FOUNDING-TRUTH,B03-C07-S05,B03-C29-S01,6,6,candidate,cross-scene
SCROLL-TRUTH,B03-C07-S05,B03-C07-S05,1,1,candidate,single-scene
KAEL-VAULT-CONFRONTATION,B03-C08-S01,B03-C08-S03,7,3,candidate,cross-scene
PURGE-CAUSE,B03-C08-S01,B03-C08-S01,1,1,candidate,single-scene
VAULT-INTIMACY,B03-C08-S03,B03-C08-S05,7,3,candidate,cross-scene
B4-EXIT,B03-C08-S05,B03-C08-S05,1,1,candidate,single-scene
TREATY-CUSTODY,B03-C08-S05,B03-C22-S04,4,4,candidate,cross-scene
LIBRARY-ESCAPE,B03-C09-S01,B03-C09-S01,1,1,candidate,single-scene
STERLING-STANDOFF,B03-C09-S01,B03-C09-S02,4,2,candidate,cross-scene
PUBLIC-EXPOSURE,B03-C09-S02,B03-C09-S06,12,5,candidate,cross-scene
ANTAGONIST-ESCAPE,B03-C09-S05,B03-C09-S05,2,1,candidate,single-scene
CABIN-RETREAT,B03-C09-S05,B03-C09-S06,3,2,candidate,cross-scene
EVIDENCE-DISTRIBUTION,B03-C09-S06,B03-C11-S01,2,2,candidate,cross-scene
LIBRARY-LOSS,B03-C09-S06,B03-C09-S06,1,1,candidate,single-scene
CABIN-REFUGE,B03-C10-S01,B03-C10-S02,5,2,candidate,cross-scene
DISPLACEMENT,B03-C10-S01,B03-C10-S01,1,1,candidate,single-scene
CABIN-DEFENSE,B03-C10-S02,B03-C10-S05,3,2,candidate,cross-scene
RELATIONSHIP-COMMITMENT,B03-C10-S02,B03-C10-S04,3,2,candidate,cross-scene
JONAH-BACKSTORY,B03-C10-S03,B03-C10-S03,1,1,candidate,single-scene
CABIN-INTIMACY,B03-C10-S04,B03-C10-S05,4,2,candidate,cross-scene
MATE-BOND,B03-C10-S04,B03-C12-S05,3,2,candidate,cross-scene
CABIN-SIEGE,B03-C10-S05,B03-C11-S02,8,3,candidate,cross-scene
MAGISTERIUM-ULTIMATUM,B03-C10-S05,B03-C10-S05,2,1,candidate,single-scene
TREATY-EVIDENCE,B03-C11-S01,B03-C11-S01,1,1,candidate,single-scene
ROOT-CELLAR-ESCAPE,B03-C11-S02,B03-C11-S03,6,2,candidate,cross-scene
WILDERNESS-FLIGHT,B03-C11-S03,B03-C12-S03,4,3,candidate,cross-scene
