assertion_id,proposition_id,reader_context,reveal_scene,viewpoint_context,notes
A-B03-000001,P-B03-000001,explicit,B03-C01-S03,Jonah Harrow,
A-B03-000002,P-B03-000002,explicit,B03-C01-S03,Jonah Harrow,
A-B03-000003,P-B03-000003,explicit,B03-C01-S03,Jonah Harrow,Wolf recognition is not yet promoted to objective canon.
A-B03-000004,P-B03-000004,explicit,B03-C01-S04,Jonah Harrow,
A-B03-000005,P-B03-000005,explicit,B03-C01-S04,Jonah Harrow,
A-B03-000006,P-B03-000006,explicit,B03-C01-S05,Jonah Harrow,
A-B03-000007,P-B03-000007,explicit,B03-C02-S02,Margot Vance,
A-B03-000008,P-B03-000007,explicit,B03-C02-S02,Margot Vance,
A-B03-000009,P-B03-000007,explicit,B03-C02-S02,Margot Vance,
A-B03-000010,P-B03-000007,explicit,B03-C02-S02,Margot Vance,
A-B03-000011,P-B03-000008,explicit,B03-C02-S03,Margot Vance,
A-B03-000012,P-B03-000009,explicit,B03-C02-S03,Margot Vance,
A-B03-000013,P-B03-000009,explicit,B03-C02-S03,Margot Vance,
A-B03-000014,P-B03-000009,explicit,B03-C02-S03,Margot Vance,
A-B03-000015,P-B03-000009,explicit,B03-C02-S03,Margot Vance,
A-B03-000016,P-B03-000010,explicit,B03-C02-S04,Margot Vance,
A-B03-000017,P-B03-000010,explicit,B03-C02-S04,Margot Vance,
A-B03-000018,P-B03-000011,explicit,B03-C02-S01,Margot Vance,
A-B03-000019,P-B03-000012,explicit,B03-C02-S01,Margot Vance,
A-B03-000020,P-B03-000018,explicit,B03-C02-S02,Margot Vance,
A-B03-000021,P-B03-000013,explicit,B03-C03-S02,Jonah Harrow,
A-B03-000022,P-B03-000014,explicit,B03-C03-S01,Jonah Harrow,
A-B03-000023,P-B03-000017,explicit,B03-C03-S04,Jonah Harrow,
A-B03-000024,P-B03-000015,explicit,B03-C02-S05,Margot Vance,"Interpretive, not canonical."
A-B03-000025,P-B03-000016,explicit,B03-C03-S05,Jonah Harrow,
A-B03-000026,P-B03-000019,explicit,B03-C04-S02,Margot Vance,
A-B03-000027,P-B03-000019,explicit,B03-C04-S02,Margot Vance,
A-B03-000028,P-B03-000020,explicit,B03-C04-S03,Margot Vance,
A-B03-000029,P-B03-000021,explicit,B03-C04-S05,Margot Vance,
A-B03-000030,P-B03-000022,explicit,B03-C04-S05,Margot Vance,
A-B03-000031,P-B03-000023,explicit,B03-C05-S01,Jonah Harrow,
A-B03-000032,P-B03-000024,explicit,B03-C05-S02,Jonah Harrow,
A-B03-000033,P-B03-000025,explicit,B03-C05-S02,Jonah Harrow,
A-B03-000034,P-B03-000026,explicit,B03-C05-S03,Jonah Harrow,
A-B03-000035,P-B03-000027,explicit,B03-C06-S01,Jonah Harrow,
A-B03-000036,P-B03-000028,explicit,B03-C06-S01,Jonah Harrow,
A-B03-000037,P-B03-000028,explicit,B03-C06-S03,Jonah Harrow,
A-B03-000038,P-B03-000029,explicit,B03-C06-S03,Jonah Harrow,Interpretive arc claim.
A-B03-000039,P-B03-000030,explicit,B03-C05-S05,Jonah Harrow,
A-B03-000040,P-B03-000031,implied,B03-C04-S01,Margot Vance,Persistence inferred because no reset or cancellation occurs.
A-B03-000041,P-B03-000032,explicit,B03-C06-S03,Jonah Harrow,Supported by repeated rescue and grounding behavior.
A-B03-000042,P-B03-000033,explicit,B03-C07-S01,Margot Vance,
A-B03-000043,P-B03-000034,explicit,B03-C07-S03,Margot Vance,
A-B03-000044,P-B03-000035,explicit,B03-C07-S05,Margot Vance,
A-B03-000045,P-B03-000036,explicit,B03-C08-S01,Jonah Harrow,
A-B03-000046,P-B03-000037,explicit,B03-C08-S01,Jonah Harrow,
A-B03-000047,P-B03-000038,explicit,B03-C08-S01,Jonah Harrow,
A-B03-000048,P-B03-000039,explicit,B03-C08-S02,Jonah Harrow,
A-B03-000049,P-B03-000040,explicit,B03-C08-S03,Jonah Harrow,
A-B03-000050,P-B03-000041,explicit,B03-C08-S05,Jonah Harrow,
A-B03-000051,P-B03-000042,explicit,B03-C08-S05,Jonah Harrow,
A-B03-000052,P-B03-000043,explicit,B03-C09-S01,Margot Vance,
A-B03-000053,P-B03-000044,explicit,B03-C09-S02,Margot Vance,
A-B03-000054,P-B03-000045,explicit,B03-C09-S04,Margot Vance,
A-B03-000055,P-B03-000046,explicit,B03-C09-S05,Margot Vance,
A-B03-000056,P-B03-000047,explicit,B03-C09-S06,Margot Vance,
A-B03-000057,P-B03-000048,explicit,B03-C09-S06,Margot Vance,
A-B03-000058,P-B03-000049,explicit,B03-C10-S01,Jonah Harrow,
A-B03-000059,P-B03-000050,explicit,B03-C10-S02,Jonah Harrow,
A-B03-000060,P-B03-000051,explicit,B03-C10-S03,Jonah Harrow,
A-B03-000061,P-B03-000052,explicit,B03-C10-S04,Jonah Harrow,
A-B03-000062,P-B03-000053,explicit,B03-C10-S05,Jonah Harrow,
A-B03-000063,P-B03-000054,explicit,B03-C11-S01,Shared POV (Jonah/Margot),
A-B03-000064,P-B03-000055,explicit,B03-C11-S02,Margot Vance,
A-B03-000065,P-B03-000056,explicit,B03-C11-S03,Jonah Harrow,
A-B03-000066,P-B03-000057,explicit,B03-C12-S01,Margot Vance,
A-B03-000067,P-B03-000058,explicit,B03-C12-S02,Margot Vance,
A-B03-000068,P-B03-000059,explicit,B03-C12-S03,Margot Vance,
A-B03-000069,P-B03-000060,explicit,B03-C12-S05,Margot Vance,
A-B03-000070,P-B03-000061,explicit,B03-C12-S05,Margot Vance,
A-B03-000071,P-B03-000062,explicit,B03-C13-S01,Jonah Harrow,
A-B03-000072,P-B03-000063,explicit,B03-C13-S02,Jonah Harrow,Inference from physical evidence.
A-B03-000073,P-B03-000064,explicit,B03-C14-S01,Margot Vance,
A-B03-000074,P-B03-000065,explicit,B03-C14-S02,Margot Vance,
A-B03-000075,P-B03-000066,explicit,B03-C14-S03,Margot Vance,
A-B03-000076,P-B03-000067,explicit,B03-C14-S04,Margot Vance,
A-B03-000077,P-B03-000068,explicit,B03-C15-S01,Jonah Harrow,
A-B03-000078,P-B03-000069,explicit,B03-C15-S02,Jonah Harrow,
A-B03-000079,P-B03-000070,explicit,B03-C15-S03,Jonah Harrow,
A-B03-000080,P-B03-000071,explicit,B03-C15-S04,Jonah Harrow,
A-B03-000081,P-B03-000072,explicit,B03-C16-S03,Margot Vance,
A-B03-000082,P-B03-000073,explicit,B03-C16-S03,Margot Vance,
A-B03-000083,P-B03-000074,explicit,B03-C16-S04,Margot Vance,
A-B03-000084,P-B03-000075,explicit,B03-C17-S01,Jonah Harrow,
A-B03-000085,P-B03-000076,explicit,B03-C17-S03,Jonah Harrow,
A-B03-000086,P-B03-000077,explicit,B03-C17-S04,Jonah Harrow,
A-B03-000087,P-B03-000078,explicit,B03-C18-S01,Margot Vance,
A-B03-000088,P-B03-000079,explicit,B03-C18-S02,Margot Vance,
A-B03-000089,P-B03-000080,explicit,B03-C18-S03,Margot Vance,
A-B03-000090,P-B03-000081,explicit,B03-C18-S04,Margot Vance,
A-B03-000091,P-B03-000082,explicit,B03-C19-S02,Margot Vance,
A-B03-000092,P-B03-000083,explicit,B03-C19-S05,Margot Vance,
A-B03-000093,P-B03-000084,explicit,B03-C20-S01,Margot Vance,
A-B03-000094,P-B03-000085,explicit,B03-C20-S03,Jonah Harrow,
A-B03-000095,P-B03-000086,explicit,B03-C21-S01,Jonah Harrow,
A-B03-000096,P-B03-000087,explicit,B03-C21-S02,Jonah Harrow,
A-B03-000097,P-B03-000088,explicit,B03-C21-S03,Jonah Harrow,
A-B03-000098,P-B03-000089,explicit,B03-C21-S05,Jonah Harrow,
A-B03-000099,P-B03-000090,explicit,B03-C21-S06,Jonah Harrow,
A-B03-000100,P-B03-000091,explicit,B03-C21-S06,Jonah Harrow,
A-B03-000101,P-B03-000092,explicit,B03-C22-S03,Shared POV,
