issue_id,category,severity,status,primary_scene,secondary_scene,subject,description,evidence,recommended_action
KV-0001,knowledge continuity,review,candidate,B03-C14-S04,B03-C15-S02,Resistance,Possible premature use of proposition P-B03-000069: The resistance identifies a surveillance or intelligence compromise.,Derived from assertion first-known scene and earlier scene summary.,Check source manuscript directly and either confirm violation or dismiss.
KV-0002,knowledge continuity,review,candidate,B03-C16-S01,B03-C16-S03,Resistance,Possible premature use of proposition P-B03-000072: The resistance rescues detainees connected to the disappearance ledger.,Derived from assertion first-known scene and earlier scene summary.,Check source manuscript directly and either confirm violation or dismiss.
KV-0003,knowledge continuity,review,candidate,B03-C14-S04,B03-C18-S01,Resistance,Possible premature use of proposition P-B03-000078: The resistance selects Sterling's master archive as the final target.,Derived from assertion first-known scene and earlier scene summary.,Check source manuscript directly and either confirm violation or dismiss.
KV-0004,knowledge continuity,review,candidate,B03-C14-S04,B03-C18-S04,Resistance,Possible premature use of proposition P-B03-000081: The resistance breaches Sterling's command archive and secures part of the records.,Derived from assertion first-known scene and earlier scene summary.,Check source manuscript directly and either confirm violation or dismiss.
KV-0005,knowledge continuity,review,candidate,B03-C22-S03,B03-C22-S05,Valerius,Possible premature use of proposition P-B03-000093: Valerius deploys a necromantic Siege Golem against the library.,Derived from assertion first-known scene and earlier scene summary.,Check source manuscript directly and either confirm violation or dismiss.
KV-0006,knowledge continuity,review,candidate,B03-C24-S01,B03-C24-S03,Aleksei,Possible premature use of proposition P-B03-000097: Jonah uses an obsolete AM transmitter to bypass the Grey Guard jamming field.,Derived from assertion first-known scene and earlier scene summary.,Check source manuscript directly and either confirm violation or dismiss.
KV-0007,knowledge continuity,review,candidate,B03-C25-S02,B03-C25-S03,Valerius,Possible premature use of proposition P-B03-000101: Valerius activates a backup Feral Signal that turns the public confrontation into a manufactured massacre.,Derived from assertion first-known scene and earlier scene summary.,Check source manuscript directly and either confirm violation or dismiss.
CU-0001,object custody,major-risk,interval-not-closed,B03-C04-S01,B03-C07-S01,Flashlight,Custody transition from 'Jonah Harrow / Margot Vance' to 'uncertain' is not cleanly closed.,Earlier open custody state is not explicitly closed before later holder/location change.,Check exact transfer scene and close intervals.
CU-0002,object custody,review,candidate-overlap,B03-C08-S01,B03-C08-S05,Original Integration Treaty,Custody transition from 'B4 Vault / Margot Vance' to 'Jonah Harrow' is not cleanly closed.,Overlapping custody intervals with different holders. May be transfer timing rather than error.,Check exact transfer scene and close intervals.
CU-0003,object custody,major-risk,interval-not-closed,B03-C09-S06,B03-C10-S01,Original Integration Treaty,Custody transition from 'Margot Vance / shared custody' to 'Jonah's cabin table / shared custody' is not cleanly closed.,Earlier open custody state is not explicitly closed before later holder/location change.,Check exact transfer scene and close intervals.
CU-0004,object custody,major-risk,interval-not-closed,B03-C27-S04,B03-C28-S03,Jackson Harrow,Custody transition from 'Iron Horse locomotive / Valerius control' to 'Freed; medical and family care' is not cleanly closed.,Earlier open custody state is not explicitly closed before later holder/location change.,Check exact transfer scene and close intervals.
