entity_id,entity_type,canonical_name,aliases,first_appearance,source_document,review_status,status,notes,entity_key
ENT-CHAR-0001,Character,Jonah Harrow,Jonah; Sheriff Harrow,B03-C01-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,principal protagonist; supernatural sheriff,5e33ed1f4043
ENT-CHAR-0002,Character,Margot Vance,Margot; Ms. Vance,B03-C01-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,principal protagonist; librarian and Keeper,98aee503c4fa
ENT-CHAR-0003,Character,Grishka,,B03-C01-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,supernatural bar patron,dac7b52fb1b7
ENT-CHAR-0004,Character,Aleksei Petrov,Aleksei,B03-C01-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,bar patron,9aa54ee7c203
ENT-CHAR-0005,Character,Marcy,,B03-C01-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,bar staff or patron; role to confirm,2d0584c0f7eb
ENT-CHAR-0006,Character,Meredith,Meredith hologram,B03-C02-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,library protocol interface or archival intelligence,5282f0b902bb
ENT-CHAR-0007,Character,Unknown B2 Entity,,B03-C03-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,unidentified entity in or beneath B2,22ac9091800c
ENT-CHAR-0008,Character,Kael,,B03-C08-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Combat mage and mercenary working for the Council.,4daa307db756
ENT-CHAR-0009,Character,Arthur Sterling,Sterling; Councilman Sterling,B03-C09-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Council power broker and antagonist.,c8287bf9f78e
ENT-CHAR-0010,Character,Unnamed Marksman,female mercenary; sniper,B03-C09-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Armed mercenary supporting Sterling.,f1f9fe6449a4
ENT-CHAR-0011,Character,Jackson Harrow,Jackson; Sheriff Harrow's father,B03-C27-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,"Jonah's father; presumed dead, later revealed alive and used as an Alpha battery.",4551f70e8a59
ENT-CREATURE-0001,Creature,Bibliovore,,B03-C03-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,text-consuming creature,82221cc41378
ENT-CREATURE-0002,Creature,Lexivore,,B03-C03-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,language- or meaning-consuming creature,1379e438fb32
ENT-CREATURE-0003,Creature,Concept Guardian Cat,Riddle Cat; Sphinx Cat,B03-C04-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Tattooed giant Sphinx cat guarding B3 access.,648a070ea34d
ENT-CREATURE-0004,Creature,Captured Fire Elemental,Fire Elemental,B03-C21-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Contained supernatural power source connected to the library defenses.,305371db23ea
ENT-CREATURE-0005,Creature,Siege Golem,,B03-C22-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,removed,Enemy siege construct classified and returned to the trans-dimensional Void.,96dbdbdb7212
ENT-EVENT-0001,Event,Courtroom Villanelle Trap,bad stanza; courtroom illusion,B03-C06-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Guilt-based poetic trap targeting Jonah.,458041d8847a
ENT-GROUP-0001,Group,Snowfall Creek Townspeople,crowd; witnesses; mob,B03-C09-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Public audience and political force.,a5d3130d8f0b
ENT-GROUP-0002,Group,Snowfall Creek Werewolf Pack,Pack from the Ghetto,B03-C09-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Werewolf community harmed by the Treaty.,a180aeb6a69c
ENT-LOC-0001,Location,Snowfall Creek,,B03-C01-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,town setting,15feee58329e
ENT-LOC-0002,Location,The Howling Moon,Howling Moon bar,B03-C01-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,supernatural bar,c7d11985c5c4
ENT-LOC-0003,Location,Snowfall Creek Public Library,the library,B03-C01-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,primary magical location,6427ab428ae7
ENT-LOC-0004,Location,Library Basement,basement,B03-C01-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,initial hidden magical space,6a6c6a50d526
ENT-LOC-0005,Location,Preservation Section,,B03-C02-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,location of Founding Scrolls before disappearance,c8c3a0472eec
ENT-LOC-0006,Location,Deep Stacks,,B03-C02-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,underground unstable archive levels,524bcadb096e
ENT-LOC-0007,Location,Level B1,B1; Extended Stacks,B03-C02-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,first lower level,ec94a0637322
ENT-LOC-0008,Location,Level B2,B2; Architecture Section,B03-C03-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,second lower level,453c185f7ae3
ENT-LOC-0009,Location,Level B4,B4; Heart of the Archive,B03-C02-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,target level for recovery,afcf29d36efe
ENT-LOC-0010,Location,Central Spire,,B03-C04-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,B2 axis and gate to B3.,1057ba68bd1d
ENT-LOC-0011,Location,Resting Point Study,Victorian study; Resting Point,B03-C05-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Safe transitional airlock between B2 and B3.,a42b759de706
ENT-LOC-0012,Location,Level B3,B3; Poetry Section; Forest of Feeling,B03-C05-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Emotion- and memory-reactive archive level.,081ceb0f97eb
ENT-LOC-0013,Location,Sonnet Glade,B3 Subsection A,B03-C07-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Idealized romance-trope environment.,64ec6cd5ae28
ENT-LOC-0014,Location,B4 Vault,Heart of the Archive; Archives proper,B03-C07-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Obsidian fortress containing original records.,5664f25edede
ENT-LOC-0015,Location,Jonah's Ridge Cabin,Jonah's cabin,B03-C09-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Defensible private refuge.,a6c5665eda89
ENT-OBJ-0001,Object,Founding Scrolls,the Scrolls,B03-C02-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,central missing archival documents,60929c720ffa
ENT-OBJ-0002,Object,Margot's Grandmother's Journal,grandmother's journal; journal,B03-C02-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,concealed inherited knowledge source,59c6e5d0dc41
ENT-OBJ-0003,Object,Deep Stacks Key,key,B03-C02-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,access object,8787aebbbade
ENT-OBJ-0004,Object,Flashlight,,B03-C02-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,survival tool,49fbc9cecb8c
