original_event_id,scene_id,original_label,disposition,normalized_event_id,normalized_label,actual_participant_entity_ids,event_specific_evidence_quote,multi_scene_continuity_group,review_notes
EVT-B03-C01-S01-001,B03-C01-S01,Grishka attacks Aleksei,KEEP,N-EVT-B03-C01-S01-001,Grishka strikes Aleksei and starts the bar fight,ENT-CHAR-0003;ENT-CHAR-0004,"Jonah Harrow shouldered through the swinging doors just as Grishka's fist connected with Aleksei Petrov's jaw. The sound was wet and meaty—a side of beef dropped from a third-floor window—and the Vampire went airborne, crashing through a barstool before skidding to a stop against the ancient jukebox. Quarters spilled across the sticky floor like silver rain.",BAR-DISTURBANCE,Candidate survives with event-specific review.
EVT-B03-C01-S01-002,B03-C01-S01,Jonah intervenes,KEEP,N-EVT-B03-C01-S01-002,Jonah physically stops the fight,ENT-CHAR-0001;ENT-CHAR-0003;ENT-CHAR-0004,"Jonah Harrow shouldered through the swinging doors just as Grishka's fist connected with Aleksei Petrov's jaw. The sound was wet and meaty—a side of beef dropped from a third-floor window—and the Vampire went airborne, crashing through a barstool before skidding to a stop against the ancient jukebox. Quarters spilled across the sticky floor like silver rain.",BAR-DISTURBANCE,Candidate survives with event-specific review.
EVT-B03-C01-S01-003,B03-C01-S01,Jonah imposes consequences.,RELABEL,N-EVT-B03-C01-S01-003,Jonah bans Grishka from the bar for the weekend,ENT-CHAR-0001;ENT-CHAR-0003,"""You're paying for the jukebox again."" Jonah's voice was granite. ""And you're banned for the weekend.""",BAR-DISTURBANCE,"Material event survives, but label, type, or participants required correction."
EVT-B03-C01-S02-001,B03-C01-S02,Jonah ejects Grishka,KEEP,N-EVT-B03-C01-S02-001,Jonah clears Grishka and Aleksei from the bar area,ENT-CHAR-0001;ENT-CHAR-0003;ENT-CHAR-0004,Jonah grabbed Grishka by the leather of his vest—not easy when the leather was stretched over something the size of an industrial refrigerator—and hauled him toward the door.,BAR-DISTURBANCE,Candidate survives with event-specific review.
EVT-B03-C01-S02-002,B03-C01-S02,Aleksei leaves,MERGE,N-EVT-B03-C01-S02-001,Jonah clears Grishka and Aleksei from the bar area,ENT-CHAR-0001;ENT-CHAR-0003;ENT-CHAR-0004,Jonah grabbed Grishka by the leather of his vest—not easy when the leather was stretched over something the size of an industrial refrigerator—and hauled him toward the door.,BAR-DISTURBANCE,Fragment is absorbed into a larger causal event.
EVT-B03-C01-S02-003,B03-C01-S02,Jonah scents danger in town.,RELABEL,N-EVT-B03-C01-S02-002,Jonah detects an approaching supernatural danger,ENT-CHAR-0001,"*Danger*, the wolf whispered, its voice like gravel in his skull. *Not here. Not yet. But coming.*",LIBRARY-DISTURBANCE,"Material event survives, but label, type, or participants required correction."
EVT-B03-C01-S03-001,B03-C01-S03,Jonah observes basement light,KEEP,N-EVT-B03-C01-S03-001,Jonah notices an anomalous basement light at the closed library,ENT-CHAR-0001,But there was a light in the basement window.,LIBRARY-DISTURBANCE,Candidate survives with event-specific review.
EVT-B03-C01-S03-002,B03-C01-S03,identifies ozone and old magic,RELABEL,N-EVT-B03-C01-S03-002,Jonah identifies ozone and old magic coming from the library,ENT-CHAR-0001,"It smelled like magic. Old magic. The kind that had been sleeping for a long, long time.",LIBRARY-DISTURBANCE,"Material event survives, but label, type, or participants required correction."
EVT-B03-C01-S03-003,B03-C01-S03,picks the staff-door lock,RELABEL,N-EVT-B03-C01-S03-003,Jonah picks the locked staff entrance,ENT-CHAR-0001,"He felt the wolf's claws prick against the inside of his fingertips—not fully shifted, just enough to give him leverage—and with a quiet *snick*, the deadbolt gave way.",LIBRARY-DISTURBANCE,"Material event survives, but label, type, or participants required correction."
EVT-B03-C01-S03-004,B03-C01-S03,recognizes Margot's scent.,RELABEL,N-EVT-B03-C01-S03-004,Jonah recognizes Margot's scent and his wolf identifies her as mate,ENT-CHAR-0001,The way the wolf knew the scent of *mate*.,MATE-RECOGNITION,"Material event survives, but label, type, or participants required correction."
