scene_id,book,chapter_index,chapter_heading,scene_index_in_chapter,word_count,source_file,source_hash,opening_line,closing_line,pov_candidate,story_time_candidate,explicit_time_markers,location_candidate,present_characters_candidate,scene_goal_candidate,opposition_candidate,turn_candidate,outcome_candidate,major_events_candidate,knowledge_gained_candidate,belief_changes_candidate,relationship_changes_candidate,objects_transferred_candidate,promises_introduced_candidate,promises_advanced_candidate,promises_paid_off_candidate,review_status,notes
B03-C01-S01,Book 3,1,Chapter 1,1,420,series/books/book-3/phase-8-editing/MANUSCRIPT.md,566cc0876e5f4ce6506db56ac5846eeddf907b0d787410749c33cf2b2c898974,**Jonah**,"""*Weekend*.""",Jonah Harrow,Friday night; three days after full moon,night,The Howling Moon bar,Jonah Harrow; Grishka; Aleksei Petrov; Marcy; minotaur couple; human tourists,Jonah stops the bar fight and restores order.,Grishka's jealousy and supernatural strength; chaotic patrons.,Jonah asserts authority and orders Grishka out.,The fight ends; Grishka is banned for the weekend.,Grishka attacks Aleksei; Jonah intervenes; Jonah imposes consequences.,No major new factual knowledge.,None explicit.,Jonah reinforces his authority over local supernatural residents.,None.,Jonah's role as supernatural sheriff; his exhausted control over the wolf.,None.,None.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C01-S02,Book 3,1,Chapter 1,2,486,series/books/book-3/phase-8-editing/MANUSCRIPT.md,f8897f8ccddda57ba36af07c6db1850633f98633eb94adf4d6dff3dfe6fe33ac,"Jonah grabbed Grishka by the leather of his vest—not easy when the leather was stretched over something the size of an industrial refrigerator—and hauled him toward the door. The Troll went, grumbling, his footsteps shaking the floorboards hard enough to rattle the bottles behind the bar. The wolf i",Jonah froze.,Jonah Harrow,Immediately after the bar fight,night; tomorrow; years ago,Porch of The Howling Moon and Main Street,Jonah Harrow; Grishka; Aleksei Petrov,Jonah clears the remaining disturbance and assesses the night.,Jonah's fatigue; the wolf's unexplained sense of danger.,Jonah detects a wrongness and notices the library.,His attention shifts from routine policing to a possible supernatural threat.,Jonah ejects Grishka; Aleksei leaves; Jonah scents danger in town.,Jonah learns that an unidentified magical danger is nearby.,Routine Friday-night annoyance becomes active concern.,None explicit.,None.,An approaching danger; the library as threat locus.,Jonah's wolf warns that danger is coming.,None.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C01-S03,Book 3,1,Chapter 1,3,557,series/books/book-3/phase-8-editing/MANUSCRIPT.md,2fe2c4442b9f5241fa78290653d71d1f81f9ced5a3131059537e1760f4fab3eb,"The Snowfall Creek Public Library sat at the end of the block like a patient gargoyle. Two stories of Victorian architecture, red brick wrapped in ivy that had been climbing the walls since before the Integration. Its windows should have been dark. Closed for hours. The old librarian—Margot Vance, q",He stepped inside.,Jonah Harrow,Same night,,Exterior and staff entrance of Snowfall Creek Public Library,Jonah Harrow,"Investigate the unexplained light, scent, and magical disturbance.",Locked doors; unknown old magic; Jonah's denial of the mate response.,Jonah identifies Margot's scent and his wolf identifies her as mate.,Jonah enters the locked library.,Jonah observes basement light; identifies ozone and old magic; picks the staff-door lock; recognizes Margot's scent.,Jonah learns the disturbance originates inside the library and Margot is present.,The wolf identifies Margot as mate; Jonah rejects or suppresses the implication.,A latent mate bond is introduced from Jonah's perspective.,None.,Mate-bond romance promise; hidden magical library promise.,The supernatural threat becomes concrete.,None.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C01-S04,Book 3,1,Chapter 1,4,530,series/books/book-3/phase-8-editing/MANUSCRIPT.md,98128e9c678fe7fb78ef96c386b5d3b1e4bde6f9a7bb1c2eb2db5f86d464bf21,"The library's main floor was silent except for the soft creak of old wood under Jonah's boots. The checkout desk was abandoned, a half-drunk cup of tea sitting next to a stack of books that would never be reshelved. The reading lamps were off, but the moonlight filtering through the high windows cas","""*Door*!""",Jonah Harrow,Same night,years ago; night; tonight,Library main floor and basement,Jonah Harrow; Margot Vance,Locate the source of the disturbance and protect whoever is inside.,Impossible architecture; animated books; uncontrolled old magic.,Jonah finds Margot fighting a biting book in a salt circle.,Margot orders Jonah to close the basement door.,Jonah descends; discovers expanded magical basement; sees flying books and Margot containing them.,Jonah learns the library basement is magically transformed and Margot is actively controlling it.,Jonah's suspicion becomes certainty that the library contains dangerous old magic.,Jonah sees Margot as capable under extreme danger.,None.,Margot's hidden Keeper role; dangerous sentient books.,Library mystery escalates into direct supernatural crisis.,The earlier sensed wrongness is identified as library magic.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C01-S05,Book 3,1,Chapter 1,5,615,series/books/book-3/phase-8-editing/MANUSCRIPT.md,79c83ea546467141c4023badb15f5d9c797b56631ffa2e1f4fbdddf04076aa08,Jonah kicked the door shut.,*That's not good at all.*,Jonah Harrow,Immediately afterward,tomorrow,Library basement,Jonah Harrow; Margot Vance,Stabilize the magical event and obtain an explanation.,Margot's secrecy; unstable library magic; building-wide ward response.,Every door in the library seals itself.,Jonah and Margot are trapped; Margot confirms a serious problem.,Closing the door drops the books; Margot identifies the library's age and hidden history; the building seals.,Jonah learns the books can animate and the library has concealed magical history.,Margot shifts from containment to acknowledging a larger failure.,Jonah demands truth; Margot begins direct engagement with him.,Margot takes custody of the biting book.,Sealed-building survival deadline; explanation of library history.,The external threat becomes confinement.,Jonah's investigation confirms the sensed danger.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C02-S01,Book 3,2,Chapter 2,1,520,series/books/book-3/phase-8-editing/MANUSCRIPT.md,32d7e93b99d72be438d97c83fb80851528eac923fface753ae431b64be02cee1,**Margot**,"""The library has... protections,"" she continued, moving to the next pile of debris. ""Wards, I suppose you'd call them. They keep certain things contained. Certain *knowledge* from getting out.""",Margot Vance,Immediately after Chapter 1,,Library basement,Margot Vance; Jonah Harrow,Control what Jonah learns while explaining enough to manage the crisis.,Jonah's direct questioning; Margot's lifelong secrecy.,Margot admits the library has wards containing dangerous knowledge.,Jonah receives the first partial explanation.,Margot gathers books; explains the library predates the town and contains remembering books and protective wards.,Jonah learns the library contains old protections and dangerous knowledge.,Margot recognizes that habitual secrecy will not be sufficient.,Their interaction moves from confrontation toward reluctant disclosure.,Margot hides and retains her grandmother's journal.,The contents and purpose of the wards; Margot's family history.,Margot's secret-keeper role becomes explicit.,Partial answer to Jonah's demand for explanation.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C02-S02,Book 3,2,Chapter 2,2,477,series/books/book-3/phase-8-editing/MANUSCRIPT.md,36a59ba33a7456640f31c475e293c0f0ee873cdf3a6cd3b04e26e64ae802e480,"""And those wards just... broke?"" The Sheriff hadn't moved from his position near the door. His hand kept twitching toward his hip, toward the weapon that wouldn't help him down here. Margot almost felt sorry for him. Almost. If she had the emotional bandwidth for pity, she might have found some.",And now she was going to have to talk about it.,Margot Vance,Same scene sequence,,"Library basement, Preservation Section",Margot Vance; Jonah Harrow,Determine what triggered the wards.,Missing archive material; Margot's panic and reluctance to disclose.,Margot discovers the Founding Scrolls are missing.,She tells Jonah the Scrolls are gone and accepts that she must explain them.,Margot finds a three-scroll gap; identifies the missing Founding Scrolls; Jonah steadies her physically.,Margot and Jonah learn the Founding Scrolls are missing; Jonah learns they exist.,Margot moves from uncertainty about the trigger to certainty that theft caused the crisis.,Jonah's touch creates unexpected attraction and safety for Margot.,No transfer shown; missing Scrolls have unknown custody.,Mystery of who took the Founding Scrolls; significance of their contents.,The ward failure receives a likely cause.,The unexplained gap in the shelves is identified.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C02-S03,Book 3,2,Chapter 2,3,519,series/books/book-3/phase-8-editing/MANUSCRIPT.md,076e3c2a8938b446bb322e27690efcd3cf754bece3ab7d83dc76562e5aa4d414,"Margot pulled away from his touch, wrapping her arms around herself like armor. The cold of the basement was seeping into her bones now, or maybe that was just the creeping horror of what she was about to say.","""In twelve hours,"" she said, ""the library will seal itself permanently. And everything inside it—every book, every secret, every *person*—will be erased.""",Margot Vance,Same night,morning,Library basement to main floor,Margot Vance; Jonah Harrow,Explain the Scrolls and assess the building's response.,Dangerous historical truth; escalating Purge Protocol.,Margot identifies the sealing as the Purge Protocol.,They learn they have twelve hours before the library erases itself and everyone inside.,Margot explains the Scrolls concern the town's founding and monsters; doors seal; she reveals the purge deadline.,Jonah learns the Scrolls contain lethal political truths and the library will erase itself in twelve hours.,Jonah's concern becomes acceptance of an existential deadline.,Margot entrusts Jonah with restricted family knowledge.,None.,Twelve-hour countdown; founding-truth conspiracy.,Missing Scrolls become a town-level threat.,The sealed doors are explained as the Purge Protocol.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C02-S04,Book 3,2,Chapter 2,4,634,series/books/book-3/phase-8-editing/MANUSCRIPT.md,70052990407fd12308776ad21b0d025b07d6aa79838142fb6a942ba93d2bcef1,"The Sheriff's expression didn't flicker. Not a twitch of panic, not a flash of fear. Just that granite stare and the low thrum of something dangerous lurking just beneath the surface.","""Welcome to my life, Sheriff.""",Margot Vance,Minutes later,,Library main floor,Margot Vance; Jonah Harrow; Meredith hologram,Find a way to stop the Purge Protocol.,Inescapable wards; protocol's refusal to make exceptions; unstable Deep Stacks.,"Meredith states that recovery requires reaching Level B4, the Heart of the Archive.",Margot commits to recovering the Scrolls and names Jonah as backup.,Jonah tests exits; Meredith appears; protocol terms are explained; Margot chooses the recovery route.,They learn returning the Scrolls via Level B4 can avert sterilization.,Margot shifts from panic to determined action.,Margot publicly treats Jonah as her partner or backup; shared humor appears.,None.,Journey through four underground levels to the Heart of the Archive.,The survival problem acquires a concrete mission.,The question of escape receives a conditional solution.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C02-S05,Book 3,2,Chapter 2,5,503,series/books/book-3/phase-8-editing/MANUSCRIPT.md,b282482dce8e8f4e7bf849a5ded2437ceafff1400454a5c5c45af0c2ff4da77e,"The hologram faded, leaving them in the red-washed darkness of the library's main floor.",Then she stepped into the dark.,Margot Vance,Immediately afterward; countdown active,,"Library main floor, basement, entrance to Level B1",Margot Vance; Jonah Harrow,Enter the Deep Stacks and begin the recovery mission.,Unstable architecture; active books; lethal lower levels.,Margot opens the iron-banded B1 door.,Margot and Jonah enter the Deep Stacks together.,Margot explains four lower levels; retrieves flashlight and key; opens B1 entrance.,Jonah learns the Deep Stacks are unstable and each lower level is more dangerous.,Margot accepts cooperation as necessary.,Physical proximity and shared danger reinforce attraction and partnership.,Margot uses and retains the key and flashlight.,Specific hazards of the Deep Stacks.,The mission begins.,The decision to seek B4 becomes action.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
