event_id,book_id,event_label,event_type,start_scene_id,end_scene_id,participant_entity_ids,location_text,event_summary,triggering_action,changed_state,proposition_ids,assertion_ids,evidence_scene_ids,evidence_text,confidence,review_status,derived_from_field,notes
EVT-B03-C01-S01-001,B03,Grishka attacks Aleksei,action,B03-C01-S01,B03-C01-S01,ENT-CHAR-0004;ENT-CHAR-0001;ENT-CHAR-0003;ENT-CHAR-0005,The Howling Moon bar,Grishka attacks Aleksei,,The fight ends; Grishka is banned for the weekend.,,,B03-C01-S01,Grishka attacks Aleksei,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S01-002,B03,Jonah intervenes,other,B03-C01-S01,B03-C01-S01,ENT-CHAR-0004;ENT-CHAR-0001;ENT-CHAR-0003;ENT-CHAR-0005,The Howling Moon bar,Jonah intervenes,,The fight ends; Grishka is banned for the weekend.,,,B03-C01-S01,Jonah intervenes,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S01-003,B03,Jonah imposes consequences.,other,B03-C01-S01,B03-C01-S01,ENT-CHAR-0004;ENT-CHAR-0001;ENT-CHAR-0003;ENT-CHAR-0005,The Howling Moon bar,Jonah imposes consequences.,,The fight ends; Grishka is banned for the weekend.,,,B03-C01-S01,Jonah imposes consequences.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S02-001,B03,Jonah ejects Grishka,other,B03-C01-S02,B03-C01-S02,ENT-CHAR-0004;ENT-CHAR-0001;ENT-CHAR-0003,Porch of The Howling Moon and Main Street,Jonah ejects Grishka,,His attention shifts from routine policing to a possible supernatural threat.,,,B03-C01-S02,Jonah ejects Grishka,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S02-002,B03,Aleksei leaves,other,B03-C01-S02,B03-C01-S02,ENT-CHAR-0004;ENT-CHAR-0001;ENT-CHAR-0003,Porch of The Howling Moon and Main Street,Aleksei leaves,,His attention shifts from routine policing to a possible supernatural threat.,,,B03-C01-S02,Aleksei leaves,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S02-003,B03,Jonah scents danger in town.,other,B03-C01-S02,B03-C01-S02,ENT-CHAR-0004;ENT-CHAR-0001;ENT-CHAR-0003;ENT-GROUP-0010,Porch of The Howling Moon and Main Street,Jonah scents danger in town.,,His attention shifts from routine policing to a possible supernatural threat.,,,B03-C01-S02,Jonah scents danger in town.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S03-001,B03,Jonah observes basement light,other,B03-C01-S03,B03-C01-S03,ENT-CHAR-0001;ENT-LOC-0004,Exterior and staff entrance of Snowfall Creek Public Library,Jonah observes basement light,,Jonah enters the locked library.,P-B03-000001;P-B03-000002;P-B03-000003,A-B03-000001;A-B03-000002;A-B03-000003,B03-C01-S03,Jonah observes basement light,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S03-002,B03,identifies ozone and old magic,other,B03-C01-S03,B03-C01-S03,ENT-CHAR-0001,Exterior and staff entrance of Snowfall Creek Public Library,identifies ozone and old magic,,Jonah enters the locked library.,P-B03-000001;P-B03-000002;P-B03-000003,A-B03-000001;A-B03-000002;A-B03-000003,B03-C01-S03,identifies ozone and old magic,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S03-003,B03,picks the staff-door lock,other,B03-C01-S03,B03-C01-S03,ENT-CHAR-0001,Exterior and staff entrance of Snowfall Creek Public Library,picks the staff-door lock,,Jonah enters the locked library.,P-B03-000001;P-B03-000002;P-B03-000003,A-B03-000001;A-B03-000002;A-B03-000003,B03-C01-S03,picks the staff-door lock,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S03-004,B03,recognizes Margot's scent.,revelation,B03-C01-S03,B03-C01-S03,ENT-CHAR-0001;ENT-CHAR-0002,Exterior and staff entrance of Snowfall Creek Public Library,recognizes Margot's scent.,,Jonah enters the locked library.,P-B03-000001;P-B03-000002;P-B03-000003,A-B03-000001;A-B03-000002;A-B03-000003,B03-C01-S03,recognizes Margot's scent.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
