target_section,target_row_id,source_file,source_record_id,migration_rule,provisional,review_status,notes
Entities,jonah-harrow,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CHAR-0001,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,principal protagonist; supernatural sheriff
Entities,margot-vance,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CHAR-0002,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,principal protagonist; librarian and Keeper
Entities,grishka,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CHAR-0003,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,supernatural bar patron
Entities,aleksei-petrov,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CHAR-0004,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,bar patron
Entities,marcy,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CHAR-0005,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,bar staff or patron; role to confirm
Entities,meredith,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CHAR-0006,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,library protocol interface or archival intelligence
Entities,unknown-b2-entity,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CHAR-0007,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,unidentified entity in or beneath B2
Entities,kael,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CHAR-0008,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Combat mage and mercenary working for the Council.
Entities,arthur-sterling,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CHAR-0009,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Council power broker and antagonist.
Entities,unnamed-marksman,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CHAR-0010,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Armed mercenary supporting Sterling.
Entities,jackson-harrow,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CHAR-0011,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,"Jonah's father; presumed dead, later revealed alive and used as an Alpha battery."
Entities,bibliovore,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CREATURE-0001,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,text-consuming creature
Entities,lexivore,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CREATURE-0002,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,language- or meaning-consuming creature
Entities,concept-guardian-cat,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CREATURE-0003,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Tattooed giant Sphinx cat guarding B3 access.
Entities,captured-fire-elemental,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CREATURE-0004,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Contained supernatural power source connected to the library defenses.
Entities,siege-golem,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-CREATURE-0005,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Enemy siege construct classified and returned to the trans-dimensional Void.
Entities,courtroom-villanelle-trap,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-EVENT-0001,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Guilt-based poetic trap targeting Jonah.
Entities,snowfall-creek-townspeople,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-GROUP-0001,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Public audience and political force.
Entities,snowfall-creek-werewolf-pack,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-GROUP-0002,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Werewolf community harmed by the Treaty.
Entities,snowfall-creek,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0001,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,town setting
Entities,the-howling-moon,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0002,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,supernatural bar
Entities,snowfall-creek-public-library,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0003,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,primary magical location
Entities,library-basement,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0004,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,initial hidden magical space
Entities,preservation-section,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0005,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,location of Founding Scrolls before disappearance
