normalized_event_id,book_id,start_scene_id,end_scene_id,event_label,event_type,participant_entity_ids,participant_roles,continuity_group_id,source_span,source_quote,evidence_status,canonical_status,review_status,review_rationale
N-EVT-B03-C01-S01-001,B03,B03-C01-S01,B03-C01-S01,Grishka strikes Aleksei and starts the bar fight,physical_action,ENT-CHAR-0003;ENT-CHAR-0004,Grishka:actor;Aleksei:target,BAR-DISTURBANCE,B03-C01-S01,"Jonah Harrow shouldered through the swinging doors just as Grishka's fist connected with Aleksei Petrov's jaw. The sound was wet and meaty—a side of beef dropped from a third-floor window—and the Vampire went airborne, crashing through a barstool before skidding to a stop against the ancient jukebox. Quarters spilled across the sticky floor like silver rain.",event-specific,candidate,structured-review-v1.0,The assault changes the scene from routine bar activity to active violence.
N-EVT-B03-C01-S01-002,B03,B03-C01-S01,B03-C01-S01,Jonah physically stops the fight,intervention,ENT-CHAR-0001;ENT-CHAR-0003;ENT-CHAR-0004,Jonah:actor;Grishka:restrained;Aleksei:protected,BAR-DISTURBANCE,B03-C01-S01,"Jonah Harrow shouldered through the swinging doors just as Grishka's fist connected with Aleksei Petrov's jaw. The sound was wet and meaty—a side of beef dropped from a third-floor window—and the Vampire went airborne, crashing through a barstool before skidding to a stop against the ancient jukebox. Quarters spilled across the sticky floor like silver rain.",event-specific,candidate,structured-review-v1.0,Material intervention; retain separately from the attack.
N-EVT-B03-C01-S01-003,B03,B03-C01-S01,B03-C01-S01,Jonah bans Grishka from the bar for the weekend,authority_decision,ENT-CHAR-0001;ENT-CHAR-0003,Jonah:decision-maker;Grishka:subject,BAR-DISTURBANCE,B03-C01-S01,"""You're paying for the jukebox again."" Jonah's voice was granite. ""And you're banned for the weekend.""",event-specific,candidate,structured-review-v1.0,Corrects scene-wide participant inheritance.
N-EVT-B03-C01-S02-001,B03,B03-C01-S02,B03-C01-S02,Jonah clears Grishka and Aleksei from the bar area,physical_transition,ENT-CHAR-0001;ENT-CHAR-0003;ENT-CHAR-0004,Jonah:actor;Grishka:ejected;Aleksei:departing,BAR-DISTURBANCE,B03-C01-S02,Jonah grabbed Grishka by the leather of his vest—not easy when the leather was stretched over something the size of an industrial refrigerator—and hauled him toward the door.,event-specific,candidate,structured-review-v1.0,Merges ejection and Aleksei's departure into one cleanup event.
N-EVT-B03-C01-S02-002,B03,B03-C01-S02,B03-C01-S02,Jonah detects an approaching supernatural danger,perception,ENT-CHAR-0001,Jonah:perceiver,LIBRARY-DISTURBANCE,B03-C01-S02,"*Danger*, the wolf whispered, its voice like gravel in his skull. *Not here. Not yet. But coming.*",event-specific,candidate,structured-review-v1.0,"Town/group entities are context, not participants."
N-EVT-B03-C01-S03-001,B03,B03-C01-S03,B03-C01-S03,Jonah notices an anomalous basement light at the closed library,perception,ENT-CHAR-0001,Jonah:perceiver,LIBRARY-DISTURBANCE,B03-C01-S03,But there was a light in the basement window.,event-specific,candidate,structured-review-v1.0,"Library is location, not participant."
N-EVT-B03-C01-S03-002,B03,B03-C01-S03,B03-C01-S03,Jonah identifies ozone and old magic coming from the library,inference,ENT-CHAR-0001,Jonah:perceiver,LIBRARY-DISTURBANCE,B03-C01-S03,"It smelled like magic. Old magic. The kind that had been sleeping for a long, long time.",event-specific,candidate,structured-review-v1.0,Event-specific inference.
N-EVT-B03-C01-S03-003,B03,B03-C01-S03,B03-C01-S03,Jonah picks the locked staff entrance,physical_action,ENT-CHAR-0001,Jonah:actor,LIBRARY-DISTURBANCE,B03-C01-S03,"He felt the wolf's claws prick against the inside of his fingertips—not fully shifted, just enough to give him leverage—and with a quiet *snick*, the deadbolt gave way.",event-specific,candidate,structured-review-v1.0,Distinct threshold action.
N-EVT-B03-C01-S03-004,B03,B03-C01-S03,B03-C01-S03,Jonah recognizes Margot's scent and his wolf identifies her as mate,epistemic_revelation,ENT-CHAR-0001,Jonah:knower;Margot:referenced,MATE-RECOGNITION,B03-C01-S03,The way the wolf knew the scent of *mate*.,event-specific,candidate,structured-review-v1.0,"Margot is referenced, not an active participant in this moment."
N-EVT-B03-C01-S04-001,B03,B03-C01-S04,B03-C01-S04,Jonah descends into the transformed basement,threshold_crossing,ENT-CHAR-0001,Jonah:actor,LIBRARY-DISTURBANCE,B03-C01-S04,"That flickering blue-white light spilled up the stairs, a silent warning painting the walls in pulsing shadows that moved in ways light shouldn't move. Jonah drew his sidearm—silver rounds, standard issue for Snowfall Creek, effective against about 80% of the things that went bump in the night—and started down.",event-specific,candidate,structured-review-v1.0,Retained because it crosses into a new hazard domain.
N-EVT-B03-C01-S04-002,B03,B03-C01-S04,B03-C01-S04,Jonah discovers the impossible basement and Margot containing animated books,discovery,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:perceiver;Margot:actor,LIBRARY-DISTURBANCE,B03-C01-S04,And in the eye of that storm—,event-specific,candidate,structured-review-v1.0,Merges duplicated discovery fragments.
N-EVT-B03-C01-S05-001,B03,B03-C01-S05,B03-C01-S05,Jonah closes the basement door and the animated books fall dormant,causal_action,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:actor;Margot:beneficiary,LIBRARY-CONTAINMENT,B03-C01-S05,The flying books fell.,event-specific,candidate,structured-review-v1.0,Door closure directly changes the magical state.
N-EVT-B03-C01-S05-002,B03,B03-C01-S05,B03-C01-S05,Margot acknowledges the library's concealed magical history,disclosure,ENT-CHAR-0002;ENT-CHAR-0001,Margot:speaker;Jonah:recipient,LIBRARY-CONTAINMENT,B03-C01-S05,"""Sheriff Harrow."" She straightened up, cradling the book against her chest like a sleeping child. Her dark eyes met his for the first time in—he couldn't remember the last time she'd actually *looked* at him, not with that polite averted gaze librarians seemed to cultivate as a survival mechanism. This was direct. This was assessing. This was... *something*. ""How much do you know about the history of this library?""",event-specific,candidate,structured-review-v1.0,More precise than 'identifies age and history.'
N-EVT-B03-C01-S05-003,B03,B03-C01-S05,B03-C01-S05,The library seals every exit,system_event,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:trapped;Margot:trapped,PURGE-ACTIVATION,B03-C01-S05,"Every door in the building, sealing itself shut with a sound like the final note of a symphony.",event-specific,candidate,structured-review-v1.0,System is causal agent; characters are affected participants.
N-EVT-B03-C02-S01-001,B03,B03-C02-S01,B03-C02-S01,Margot discloses that the library contains remembering books and protective wards,disclosure,ENT-CHAR-0002;ENT-CHAR-0001,Margot:speaker;Jonah:recipient,SCROLL-CRISIS,B03-C02-S01,"""The library has... protections,"" she continued, moving to the next pile of debris. ""Wards, I suppose you'd call them. They keep certain things contained. Certain *knowledge* from getting out.""",event-specific,candidate,structured-review-v1.0,The book gathering is rejected as non-material housekeeping.
N-EVT-B03-C02-S02-001,B03,B03-C02-S02,B03-C02-S02,Margot discovers that the Founding Scrolls are missing,discovery,ENT-CHAR-0002;ENT-CHAR-0001;ENT-OBJ-0001,Margot:discoverer;Jonah:witness;Scrolls:missing-object,SCROLL-CRISIS,B03-C02-S02,"""Hold on."" She moved faster now, shoving books aside with an urgency that bordered on violence. Her cardigan caught on a shelf bracket and she yanked it free, hearing fabric tear, not caring. The gap was where the Founding Scrolls should have been. Where they had been for over a century, since her grandmother's grandmother had brought them here and hidden them from everyone who might want to destroy what they contained.",event-specific,candidate,structured-review-v1.0,Merges gap discovery with identification.
N-EVT-B03-C02-S02-002,B03,B03-C02-S02,B03-C02-S02,Jonah steadies Margot and interrupts her panic,relationship_action,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:actor;Margot:recipient,MATE-RECOGNITION,B03-C02-S02,"His hand closed around her elbow, steadying her, and the touch was so unexpected—so *warm* in the cold of the basement—that she forgot to panic about the missing Scrolls and started panicking about something else entirely.",event-specific,candidate,structured-review-v1.0,Material relationship and regulation event.
N-EVT-B03-C02-S03-001,B03,B03-C02-S03,B03-C02-S03,Margot reveals that the Scrolls contain dangerous truths about the town and monsters,disclosure,ENT-CHAR-0002;ENT-CHAR-0001;ENT-OBJ-0001,Margot:speaker;Jonah:recipient;Scrolls:subject,SCROLL-CRISIS,B03-C02-S03,"She didn't say that. Instead, she said: ""From people who would destroy them. The Scrolls contain... inconvenient truths. About how this town was really founded. About what the monsters are really doing here.""",event-specific,candidate,structured-review-v1.0,Event-specific disclosure.
N-EVT-B03-C02-S03-002,B03,B03-C02-S03,B03-C02-S03,The Purge Protocol seals the library completely,system_event,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:trapped;Margot:trapped,PURGE-ACTIVATION,B03-C02-S03,"Sealed. Magically, physically, completely sealed.",event-specific,candidate,structured-review-v1.0,Continues the exit-sealing sequence begun in C01-S05.
N-EVT-B03-C02-S03-003,B03,B03-C02-S03,B03-C02-S03,Margot reveals the twelve-hour erasure deadline,deadline_revelation,ENT-CHAR-0002;ENT-CHAR-0001,Margot:speaker;Jonah:recipient,PURGE-ACTIVATION,B03-C02-S03,"""In twelve hours,"" she said, ""the library will seal itself permanently. And everything inside it—every book, every secret, every *person*—will be erased.""",event-specific,candidate,structured-review-v1.0,Creates explicit countdown state.
N-EVT-B03-C02-S04-001,B03,B03-C02-S04,B03-C02-S04,Jonah tests physical escape routes and confirms they are blocked,verification_action,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:tester;Margot:informant,PURGE-ACTIVATION,B03-C02-S04,Nothing.,event-specific,candidate,structured-review-v1.0,Actual participants exclude Meredith.
N-EVT-B03-C02-S04-002,B03,B03-C02-S04,B03-C02-S04,Meredith's hologram manifests and identifies the active protocol,system_manifestation,ENT-CHAR-0006;ENT-CHAR-0001;ENT-CHAR-0002,Meredith:manifestation;Margot:witness;Jonah:witness,PURGE-ACTIVATION,B03-C02-S04,"Before she could answer, the air in front of them shimmered.",event-specific,candidate,structured-review-v1.0,Distinct arrival of the protocol interface.
N-EVT-B03-C02-S04-003,B03,B03-C02-S04,B03-C02-S04,Meredith explains that recovery requires Level B4 access,mission_revelation,ENT-CHAR-0006;ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0009,Meredith:speaker;Margot:recipient;Jonah:recipient;B4:destination,RECOVERY-MISSION,B03-C02-S04,"The hologram paused. Calculated. ""Recovery would require deep-level access. Level B4. The Heart of the Archive.""",event-specific,candidate,structured-review-v1.0,Corrects generic 'protocol terms.'
N-EVT-B03-C02-S04-004,B03,B03-C02-S04,B03-C02-S04,Margot commits to recovering the Scrolls through Level B4,decision,ENT-CHAR-0002;ENT-CHAR-0001,Margot:decision-maker;Jonah:designated-backup,RECOVERY-MISSION,B03-C02-S04,"""Then that's where we go.""",event-specific,candidate,structured-review-v1.0,Decision creates the mission.
N-EVT-B03-C02-S05-001,B03,B03-C02-S05,B03-C02-S05,Margot explains the four lower levels and their escalating instability,disclosure,ENT-CHAR-0002;ENT-CHAR-0001,Margot:speaker;Jonah:recipient,RECOVERY-MISSION,B03-C02-S05,"""Below the basement."" She turned and started walking. Not toward the front doors they couldn't open, not toward the windows they couldn't break. Toward the door at the back of the main floor—the one marked STAFF ONLY, the one that led down to where this nightmare had started. ""The library has four levels below ground. Level B1 is where you found me. Level B4 is... deeper.""",event-specific,candidate,structured-review-v1.0,Retained as mission-relevant hazard briefing.
N-EVT-B03-C02-S05-002,B03,B03-C02-S05,B03-C02-S05,Margot equips herself with the flashlight and B1 key,preparation,ENT-CHAR-0002;ENT-OBJ-0003;ENT-OBJ-0004,Margot:actor;key:tool;flashlight:tool,RECOVERY-MISSION,B03-C02-S05,"""I don't know. No one's been there since my grandmother was a girl."" She pushed through the STAFF ONLY door and descended the stairs, pulling a flashlight from the emergency kit mounted on the wall. The red emergency lights didn't extend down here; the darkness was absolute, pressing against the beam of her flashlight like a physical thing. ""The Deep Stacks are... unstable. The architecture changes. The books are more... active.""",event-specific,candidate,structured-review-v1.0,Jonah is present but not participant in the equipment action.
N-EVT-B03-C02-S05-003,B03,B03-C02-S05,B03-C02-S05,Margot opens the B1 entrance and enters the Deep Stacks with Jonah,threshold_crossing,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0007,Margot:actor;Jonah:companion;B1:destination,DEEP-STACKS-DESCENT,B03-C02-S05,Then she stepped into the dark.,event-specific,candidate,structured-review-v1.0,Begins the lower-level sequence.
N-EVT-B03-C03-S01-001,B03,B03-C03-S01,B03-C03-S01,The B1 door closes behind them as the whispering collection activates,environment_event,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:affected;Margot:affected,DEEP-STACKS-DESCENT,B03-C03-S01,"He stepped through after her, and the door swung shut behind them with a finality that made his teeth ache.",event-specific,candidate,structured-review-v1.0,Merges two environmental fragments into one threshold consequence.
N-EVT-B03-C03-S01-002,B03,B03-C03-S01,B03-C03-S01,Margot explains B1's active books and unreliable route knowledge,disclosure,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0007,Margot:speaker;Jonah:recipient;B1:subject,DEEP-STACKS-DESCENT,B03-C03-S01,"""The journals are seventy-three years old. My grandmother was the last person to navigate the Deep Stacks.""",event-specific,candidate,structured-review-v1.0,Retained as navigation constraint.
N-EVT-B03-C03-S02-001,B03,B03-C03-S02,B03-C03-S02,A flying book attacks Margot; Jonah catches it; a bibliovore takes it,creature_encounter,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0001,book:attacker;Margot:target;Jonah:interceptor;bibliovore:claimant,DEEP-STACKS-DESCENT,B03-C03-S02,A book launched itself from the shelf at eye level.,event-specific,candidate,structured-review-v1.0,"Merges attack, interception, and creature claim into one causal encounter."
N-EVT-B03-C03-S02-002,B03,B03-C03-S02,B03-C03-S02,B1's corridor geometry distorts Jonah's direction and time sense,spatial_event,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0007,Jonah:perceiver;Margot:navigator;B1:environment,DEEP-STACKS-DESCENT,B03-C03-S02,"The corridor twisted ahead—literally twisted, the walls curving in ways that shouldn't have been geometrically possible. His sense of direction, usually as reliable as a compass, was starting to spin. They had been walking for maybe five minutes, but it felt like longer. Or shorter. Time was slippery down here.",event-specific,candidate,structured-review-v1.0,Whispering-only candidate rejected as redundant.
