event_id,scene_id,chapter,event_label,participant_status,type_status,continuity_status,review_flags
N-EVT-B03-C13-S01-001,B03-C13-S01,13,Jonah shifts back,resolved,resolved,cross-scene,granularity-review
N-EVT-B03-C13-S01-002,B03-C13-S01,13,Margot gives him his clothes,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C13-S01-003,B03-C13-S01,13,he explains Alpha combat form and the danger of remaining full wolf,resolved,resolved,local-sequence,continuity-group-local
N-EVT-B03-C13-S01-004,B03-C13-S01,13,they confirm temporary safety,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C13-S02-001,B03-C13-S02,13,Jonah explains the Undercity,resolved,resolved,cross-scene,
N-EVT-B03-C13-S02-002,B03-C13-S02,13,they enter the Hive,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C13-S02-003,B03-C13-S02,13,Iron-Jaw confronts them,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C13-S02-004,B03-C13-S02,13,Margot is identified as the Keeper,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C13-S02-005,B03-C13-S02,13,news of the riot and Pack blockade is delivered,resolved,review,cross-scene,type-review
N-EVT-B03-C13-S02-006,B03-C13-S02,13,Iron-Jaw provides the route,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C13-S03-001,B03-C13-S03,13,They discuss Pack loyalty and hope,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C13-S03-002,B03-C13-S03,13,Jonah identifies the pressure-release timing,resolved,resolved,cross-scene,
N-EVT-B03-C13-S03-003,B03-C13-S03,13,Margot asks for the Wolf,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C13-S03-004,B03-C13-S03,13,they have sex,resolved,resolved,local-sequence,granularity-review;continuity-group-local
N-EVT-B03-C13-S03-005,B03-C13-S03,13,the valve vents,resolved,review,local-sequence,granularity-review;type-review;continuity-group-local
N-EVT-B03-C13-S03-006,B03-C13-S03,13,they escape into the safety niche and continue,resolved,review,local-sequence,type-review;continuity-group-local
N-EVT-B03-C14-S01-001,B03-C14-S01,14,Margot climbs to the roof,resolved,resolved,local-sequence,continuity-group-local
N-EVT-B03-C14-S01-002,B03-C14-S01,14,they observe a disciplined human-monster coalition in the square,resolved,review,cross-scene,type-review
