source_predicate,destination_section,normalized_class,preserve_original_predicate,notes
ACCEPTS,Knowledge States,epistemic,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
ACHIEVE,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
ACTIVATES,Open Loops & Guns,promise-or-obligation,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
ARCHIVES_AS_BOOK,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
ARRIVES_AS,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
ATTACK,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
ATTEMPTS,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
ATTEMPT_CAPTURE,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
BECOMES,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
BELIEVES,Knowledge States,epistemic,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
BOARDS,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
BROADCASTS,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
CAPTURES,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
CAUSES,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
CHOOSE,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
CLASSIFIES,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
COLLABORATES_FOR,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
COMMITS_TO,Open Loops & Guns,promise-or-obligation,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
CONCEALS,Knowledge States,epistemic,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
CONFINES,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
CONFRONTS,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
CONTAINS,Logistics,state-or-custody,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
CONTROLS,Logistics,state-or-custody,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
CORROBORATES,Knowledge States,epistemic,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
DECLARES,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
DECOUPLE,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
DEPLOYS,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
DESTROYS,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
DESTROYS_OR_DISABLES,Canon Commit Log,event,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
DISCOVERS,Knowledge States,epistemic,yes,Routing rule for Story Graph migration; original analytical predicate remains unchanged.
