assertion_id,proposition_id,subject,predicate,object_or_value,valid_from_scene,source_document,source_span,source_quote,confidence,review_status,story_graph_destination
A-B03-000001,P-B03-000001,CANON,HAS_PROPERTY,active-old-magic,B03-C01-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C01-S03,,high,human-verified,Logistics
A-B03-000002,P-B03-000002,Jonah Harrow,KNOWS,P-B03-000002,B03-C01-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C01-S03,,high,human-verified,Knowledge States
A-B03-000003,P-B03-000003,Jonah Harrow,BELIEVES,P-B03-000003,B03-C01-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C01-S03,,high,human-verified,Knowledge States
A-B03-000004,P-B03-000004,CANON,HAS_PROPERTY,impossible-architecture,B03-C01-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C01-S04,,high,human-verified,Logistics
A-B03-000005,P-B03-000005,CANON,HAS_PROPERTY,animated-attacking-books,B03-C01-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C01-S04,,high,human-verified,Logistics
A-B03-000006,P-B03-000006,CANON,EVENT_OCCURRED,library-seals,B03-C01-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C01-S05,,high,human-verified,Canon Commit Log
A-B03-000007,P-B03-000007,CANON,MISSING,Founding Scrolls,B03-C02-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S02,,high,human-verified,Logistics
A-B03-000008,P-B03-000007,Margot Vance,KNOWS,P-B03-000007,B03-C02-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S02,,high,human-verified,Knowledge States
A-B03-000009,P-B03-000007,Jonah Harrow,KNOWS,P-B03-000007,B03-C02-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S02,,high,human-verified,Knowledge States
A-B03-000010,P-B03-000007,READER,KNOWS,P-B03-000007,B03-C02-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S02,,high,human-verified,Knowledge States
A-B03-000011,P-B03-000008,Jonah Harrow,KNOWS,P-B03-000008,B03-C02-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S03,,high,human-verified,Knowledge States
A-B03-000012,P-B03-000009,CANON,HAS_DEADLINE,twelve-hours,B03-C02-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S03,,high,human-verified,Open Loops & Guns
A-B03-000013,P-B03-000009,Margot Vance,KNOWS,P-B03-000009,B03-C02-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S03,,high,human-verified,Knowledge States
A-B03-000014,P-B03-000009,Jonah Harrow,KNOWS,P-B03-000009,B03-C02-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S03,,high,human-verified,Knowledge States
A-B03-000015,P-B03-000009,READER,KNOWS,P-B03-000009,B03-C02-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S03,,high,human-verified,Knowledge States
A-B03-000016,P-B03-000010,Margot Vance,KNOWS,P-B03-000010,B03-C02-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S04,,high,human-verified,Knowledge States
A-B03-000017,P-B03-000010,Jonah Harrow,KNOWS,P-B03-000010,B03-C02-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S04,,high,human-verified,Knowledge States
A-B03-000018,P-B03-000011,Margot Vance,POSSESSES,grandmother's journal,B03-C02-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S01,,high,human-verified,Logistics
A-B03-000019,P-B03-000012,Margot Vance,CONCEALS,journal from Jonah,B03-C02-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S01,,high,human-verified,Knowledge States
A-B03-000020,P-B03-000018,CANON,HAS_UNKNOWN_CUSTODY,Founding Scrolls,B03-C02-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S02,,high,human-verified,Logistics
A-B03-000021,P-B03-000013,CANON,CONTAINS,bibliovore and lexivore,B03-C03-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C03-S02,,high,human-verified,Logistics
A-B03-000022,P-B03-000014,CANON,HAS_PROPERTY,distorted-space-and-direction,B03-C03-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C03-S01,,high,human-verified,Logistics
A-B03-000023,P-B03-000017,CANON,EVENT_OCCURRED,Jonah injured by lexivore,B03-C03-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C03-S04,,high,human-verified,Canon Commit Log
A-B03-000024,P-B03-000015,ANALYST,INTERPRETS,cooperation required,B03-C02-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S05,,medium,human-verified,Knowledge States
A-B03-000025,P-B03-000016,CANON,EVENT_OCCURRED,enter B2 together,B03-C03-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C03-S05,,high,human-verified,Canon Commit Log
A-B03-000026,P-B03-000019,Jonah Harrow,KNOWS,mutual desire,B03-C04-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C04-S02,,high,human-verified,Knowledge States
A-B03-000027,P-B03-000019,Margot Vance,KNOWS,mutual desire,B03-C04-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C04-S02,,high,human-verified,Knowledge States
A-B03-000028,P-B03-000020,CANON,EVENT_OCCURRED,consensual sexual intimacy,B03-C04-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C04-S03,,high,human-verified,Canon Commit Log
A-B03-000029,P-B03-000021,CANON,HAS_PROPERTY,subjective gravity,B03-C04-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C04-S05,,high,human-verified,Logistics
A-B03-000030,P-B03-000022,CANON,EVENT_OCCURRED,Concept Guardian blocks access,B03-C04-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C04-S05,,high,human-verified,Canon Commit Log
A-B03-000031,P-B03-000023,CANON,EVENT_OCCURRED,Margot solves riddle,B03-C05-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C05-S01,,high,human-verified,Canon Commit Log
