assertion_id,proposition_id,subject_id,predicate,object_id_or_value,assertion_type,canonical_status,truth_status,epistemic_status,story_time,valid_from_scene,valid_to_scene,narrative_reveal_scene,viewpoint_context,reader_context,revision_context,source_document,source_span,source_quote,source_class,authority_level,confidence,review_status,supersedes,contradicts,derived_from,notes,story_graph_destination,normalized_predicate_class
A-B03-000001,P-B03-000001,CANON,HAS_PROPERTY,active-old-magic,story-world-fact,probable,true,not-applicable,,B03-C01-S03,,B03-C01-S03,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C01-S03,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000002,P-B03-000002,Jonah Harrow,KNOWS,P-B03-000002,character-knowledge,character-belief,true,known,,B03-C01-S03,,B03-C01-S03,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C01-S03,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000003,P-B03-000003,Jonah Harrow,BELIEVES,P-B03-000003,character-belief,character-belief,unknown,believed,,B03-C01-S03,,B03-C01-S03,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C01-S03,,manuscript,4,high,human-verified,,,,Wolf recognition is not yet promoted to objective canon.,Knowledge States,epistemic
A-B03-000004,P-B03-000004,CANON,HAS_PROPERTY,impossible-architecture,story-world-fact,probable,true,not-applicable,,B03-C01-S04,,B03-C01-S04,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C01-S04,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000005,P-B03-000005,CANON,HAS_PROPERTY,animated-attacking-books,story-world-fact,verified,true,not-applicable,,B03-C01-S04,,B03-C01-S04,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C01-S04,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000006,P-B03-000006,CANON,EVENT_OCCURRED,library-seals,on-page-event,verified,true,not-applicable,,B03-C01-S05,,B03-C01-S05,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C01-S05,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000007,P-B03-000007,CANON,MISSING,Founding Scrolls,story-world-fact,verified,true,not-applicable,,B03-C02-S02,,B03-C02-S02,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S02,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000008,P-B03-000007,Margot Vance,KNOWS,P-B03-000007,character-knowledge,character-belief,true,known,,B03-C02-S02,,B03-C02-S02,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S02,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000009,P-B03-000007,Jonah Harrow,KNOWS,P-B03-000007,character-knowledge,character-belief,true,known,,B03-C02-S02,,B03-C02-S02,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S02,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000010,P-B03-000007,READER,KNOWS,P-B03-000007,reader-knowledge,reader-knowledge,true,known,,B03-C02-S02,,B03-C02-S02,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S02,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000011,P-B03-000008,Jonah Harrow,KNOWS,P-B03-000008,character-knowledge,character-belief,true,known,,B03-C02-S03,,B03-C02-S03,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S03,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000012,P-B03-000009,CANON,HAS_DEADLINE,twelve-hours,story-world-fact,verified,true,not-applicable,,B03-C02-S03,,B03-C02-S03,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S03,,manuscript,4,high,human-verified,,,,,Open Loops & Guns,promise-or-obligation
A-B03-000013,P-B03-000009,Margot Vance,KNOWS,P-B03-000009,character-knowledge,character-belief,true,known,,B03-C02-S03,,B03-C02-S03,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S03,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000014,P-B03-000009,Jonah Harrow,KNOWS,P-B03-000009,character-knowledge,character-belief,true,known,,B03-C02-S03,,B03-C02-S03,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S03,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000015,P-B03-000009,READER,KNOWS,P-B03-000009,reader-knowledge,reader-knowledge,true,known,,B03-C02-S03,,B03-C02-S03,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S03,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000016,P-B03-000010,Margot Vance,KNOWS,P-B03-000010,character-knowledge,character-belief,true,known,,B03-C02-S04,,B03-C02-S04,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S04,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000017,P-B03-000010,Jonah Harrow,KNOWS,P-B03-000010,character-knowledge,character-belief,true,known,,B03-C02-S04,,B03-C02-S04,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S04,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000018,P-B03-000011,Margot Vance,POSSESSES,grandmother's journal,story-world-fact,verified,true,known,,B03-C02-S01,,B03-C02-S01,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S01,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000019,P-B03-000012,Margot Vance,CONCEALS,journal from Jonah,on-page-event,verified,true,concealed,,B03-C02-S01,,B03-C02-S01,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S01,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000020,P-B03-000018,CANON,HAS_UNKNOWN_CUSTODY,Founding Scrolls,story-world-fact,verified,true,unknown,,B03-C02-S02,,B03-C02-S02,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S02,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
